ROWNUM;name;adress;okryg;rayon;org_prav_forma;podchinenie;tip_ychregdenia;vid_ychregdenia;telefon;sait;email;X;Y;global_id;
78;"Государственное бюджетное образовательное учреждение города Москвы центр образования № 1240";"123056 г.Москва, Б.Кондратьевский пер., д.3";"Центральный административный округ";"Пресненский район";"Государственное";"Центральное окружное управление образования";"Общеобразовательное учреждение";"Центр образования";"254-99-59";"coc1240.mskobr.ru";"admin1240@inbox.ru";"37,580572";"55,773696";"86904099";
79;"Государственное бюджетное образовательное учреждение города Москвы центр образования № 1479";"127051 г.Москва, Большой Каретный пер., д.22, стр.6";"Центральный административный округ";"Тверской район";"Государственное";"Центральное окружное управление образования";"Общеобразовательное учреждение";"Центр образования";"699-53-19";"coc1479.mskobr.ru";"1276_sch@mail.ru";"37,619876";"55,769404";"86904114";
80;"Государственное бюджетное образовательное учреждение города Москвы центр образования № 1480";"105064, г.Москва, Гороховский пер., д.10, стр.1";"Центральный административный округ";"Басманный район";"Государственное";"Центральное окружное управление образования";"Общеобразовательное учреждение";"Центр образования";"(499) 261-43-26";"coc1480.mskobr.ru";"1480co@couo.ru";"37,665884";"55,764773";"86904115";
81;"Государственное бюджетное образовательное учреждение города Москвы центр образования № 1685";"109240 г.Москва, Берниковская набер., д.12, стр.1";"Центральный административный округ";"Таганский район";"Государственное";"Центральное окружное управление образования";"Общеобразовательное учреждение";"Центр образования";"(495) 915-05-60; (495) 915-36-68";"co1685c.mskobr.ru";"centre1685@mail.ru";"37,651048";"55,748903";"86904122";
82;"Государственное бюджетное образовательное учреждение города Москвы центр образования № 166";"127572 г. Москва, Алтуфьевское шоссе, дом 97, корпус 3";"Северо-Восточный административный округ";"район Лианозово";"Государственное";"Северо-Восточное окружное управление образования";"Общеобразовательное учреждение";"Центр образования";"(499) 200-06-15; (499) 200-52-70";"co166sv.mskobr.ru";"sch166m@yandex.ru";"37,583945";"55,903556";"86907914";
83;"Государственное бюджетное образовательное учреждение города Москвы центр образования № 264";"127273 г. Москва, ул. Олонецкая, д.13";"Северо-Восточный административный округ";"район Отрадное";"Государственное";"Северо-Восточное окружное управление образования";"Общеобразовательное учреждение";"Центр образования";"402-17-40";"co264sv.mskobr.ru";"sch-co264@yandex.ru";"37,616298";"55,851822";"86907915";
84;"Государственное бюджетное образовательное учреждение города Москвы центр образования № 293";"129301, г. Москва, ул. Ярославская, д. 27";"Северо-Восточный административный округ";"Алексеевский район";"Государственное";"Северо-Восточное окружное управление образования";"Общеобразовательное учреждение";"Центр образования";"(495) 683-45-70";"co293sv.mskobr.ru";"Sch293@yandex.ru, vmoisto@mail.ru";"37,653065";"55,827386";"86907916";
85;"Государственное бюджетное образовательное учреждение города Москвы центр образования № 953";"127349, город Москва, Шенкурский проезд, дом 15";"Северо-Восточный административный округ";"район Бибирево";"Государственное";"Северо-Восточное окружное управление образования";"Общеобразовательное учреждение";"Центр образования";"(499) 909-18-92";"co953sv.mskobr.ru";"sch953@mail.ru";"37,589413";"55,896273";"86907917";
86;"Государственное бюджетное образовательное учреждение города Москвы центр образования № 1444";"129336 г.Москва, Анадырский проезд, дом 51";"Северо-Восточный административный округ";"Лосиноостровский район";"Государственное";"Северо-Восточное окружное управление образования";"Общеобразовательное учреждение";"Центр образования";"474-61-11";"co1444sv.mskobr.ru";"centeduc1444@yandex.ru";"37,70414";"55,879152";"86907919";
87;"Государственное бюджетное образовательное учреждение города Москвы центр образования №1446";"127549 г. Москва, Костромская улица, дом 14, корпус 1";"Северо-Восточный административный округ";"Алтуфьевский район";"Государственное";"Северо-Восточное окружное управление образования";"Общеобразовательное учреждение";"Центр образования";"(499) 902-22-27";"co1446sv.mskobr.ru";"schol164@yandex.ru";"37,5945";"55,883987";"86907920";
88;"Государственное бюджетное образовательное учреждение города Москвы центр образования № 1449";"127576, город Москва, улица Угличская, дом 6 А";"Северо-Восточный административный округ";"район Лианозово";"Государственное";"Северо-Восточное окружное управление образования";"Общеобразовательное учреждение";"Центр образования";"400-62-90";"co1449sv.mskobr.ru";"Centredu1449@yandex.ru";"37,570176";"55,894893";"86907921";
89;"Государственное бюджетное образовательное учреждение города Москвы центр образования № 1459";"127273, г. Москва, ул. Отрадная, д. 11А";"Северо-Восточный административный округ";"район Отрадное";"Государственное";"Северо-Восточное окружное управление образования";"Общеобразовательное учреждение";"Центр образования";"404-87-31";"co1459.svao.mskobr.ru/";"mosschool959@yandex.ru";"37,61286";"55,85758";"86907922";
90;"Государственное бюджетное образовательное учреждение города Москвы центр образования № 1464";"129626, г. Москва, улица Павла Корчагина, дом 1-а";"Северо-Восточный административный округ";"Алексеевский район";"Государственное";"Северо-Восточное окружное управление образования";"Общеобразовательное учреждение";"Центр образования";"(495) 682-44-38; (495) 686-19-87";"co1464sv.mskobr.ru";"co1464@yandex.ru";"37,655214";"55,813175";"86907923";
91;"Государственное бюджетное образовательное учреждение города Москвы центр образования № 1470";"129164, г. Москва, ул. Маломосковская, д.7";"Северо-Восточный административный округ";"Алексеевский район";"Государственное";"Северо-Восточное окружное управление образования";"Общеобразовательное учреждение";"Центр образования";"(495) 683-11-16";"со1470sv.mskobr.ru";"co1470@yandex.ru";"37,644294";"55,813873";"86907924";
92;"Государственное бюджетное образовательное учреждение города Москвы центр образования № 1482";"127081 г. Москва, ул. Заповедная, д. 12";"Северо-Восточный административный округ";"район Южное Медведково";"Государственное";"Северо-Восточное окружное управление образования";"Общеобразовательное учреждение";"Центр образования";"(499) 477-34-59; (499) 477-54-43; (499) 477-04-60; (499) 477-62-50";"co1482.svao.mskobr.ru";"co1482@yandex.ru";"37,635329";"55,867096";"86907925";
93;"Государственное бюджетное образовательное учреждение города Москвы центр образования № 1486";"127562 г.Москва. Алтуфьевское шоссе, д.12, корпус 1";"Северо-Восточный административный округ";"район Отрадное";"Государственное";"Северо-Восточное окружное управление образования";"Общеобразовательное учреждение";"Центр образования";"(499) 201-81-00; (499) 201-28-86";"co1486.svao.mskobr.ru";"sch286@yandex.ru";"37,588031";"55,855138";"86907926";
94;"Государственное бюджетное образовательное учреждение города Москвы центр образования № 1499";"129128 г. Москва, ул. Ростокинская, д.3";"Северо-Восточный административный округ";"район Ростокино";"Государственное";"Северо-Восточное окружное управление образования";"Общеобразовательное учреждение";"Центр образования";"(499) 181-04-47";"co1499sv.mskobr.ru";"sch1499@yandex.ru";"37,660693";"55,835661";"86907927";
95;"Государственное бюджетное образовательное учреждение города Москвы центр образования № 1682";"127543 г. Москва, ул. Белозерская, д.7";"Северо-Восточный административный округ";"район Бибирево";"Государственное";"Северо-Восточное окружное управление образования";"Общеобразовательное учреждение";"Центр образования";"(499) 206-64-77; (499) 206-45-50; (499) 206-82-00; (499) 206-82-01";"co1682sv.mskobr.ru";"Sch-1682@yandex.ru";"37,611707";"55,898723";"86907928";
96;"Государственное бюджетное образовательное учреждение города Москвы центр образования № 1430";"127572, г.Москва, ул.Новгородская, д.21А";"Северо-Восточный административный округ";"район Лианозово";"Государственное";"Северо-Восточное окружное управление образования";"Общеобразовательное учреждение";"Центр образования";"(499) 200-14-00";"co1430.svao.mskobr.ru/";"co1430@yandex.ru";"37,57798";"55,900649";"86907929";
97;"Государственное бюджетное образовательное учреждение города Москвы Центр образования № 1496";"119049 г.Москва, Ленинский проспект, д.13а";"Центральный административный округ";"район Якиманка";"Государственное";"Центральное окружное управление образования";"Общеобразовательное учреждение";"Центр образования";"(499) 237-29-81";"coc1496.mskobr.ru";"co1496@yandex.ru";"37,606723";"55,723848";"86911365";
98;"Государственное бюджетное образовательное учреждение города Москвы центр образования № 1438";"119517 г. Москва,  Матвеевская улица, д.20, к.2";"Западный административный округ";"район Очаково-Матвеевское";"Государственное";"Западное окружное управление образования";"Общеобразовательное учреждение";"Центр образования";"441-72-48";"co1438.mskzapad.ru";"sc42@mail.ru";"37,46787";"55,70481";"86911381";
99;"Государственное бюджетное образовательное учреждение города Москвы центр образования № 204 имени А.М. Горького";"127055, г. Москва, ул. Тихвинская, д.39, стр.2";"Центральный административный округ";"Тверской район";"Государственное";"Центральное окружное управление образования";"Общеобразовательное учреждение";"Центр образования";"(499) 972-62-41";"coc204.mskobr.ru/";"co204@yandex.ru";"37,598403";"55,791843";"86914837";
100;"Государственное бюджетное образовательное учреждение города Москвы центр образования № 1048";"111672, Москва, ул.Салтыковская, д.13 Б";"Восточный административный округ";"район Новокосино";"Государственное";"Восточное окружное управление образования";"Общеобразовательное учреждение";"Центр образования";"(495) 701-22-00; (495) 701-22-50";"cov1048.mskobr.ru";"school1048@mail.ru";"37,863459";"55,737642";"86914848";
101;"Государственное бюджетное образовательное учреждение города Москвы Центр образования № 1443";"111674, г. Москва, ул. Рудневка, д.10";"Восточный административный округ";"район Косино-Ухтомский";"Государственное";"Восточное окружное управление образования";"Общеобразовательное учреждение";"Центр образования";"(499) 721-60-03";"cov1443.mskobr.ru";"gbouco1443@gmail.ru";"37,889803";"55,7152";"86914849";
102;"Государственное бюджетное образовательное учреждение города Москвы центр образования № 1475";"107497, г. Москва, ул. Новосибирская, д. 8 А";"Восточный административный округ";"район Гольяново";"Государственное";"Восточное окружное управление образования";"Общеобразовательное учреждение";"Центр образования";"469-50-08";"co1475.mskobr.ru";"со1475@mail.ru";"37,822719";"55,815688";"86914851";
103;"Государственное бюджетное образовательнoе учреждение города Москвы центр образования № 1495";"111674 г.Москва ул.Святоозерская д.17";"Восточный административный округ";"район Косино-Ухтомский";"Государственное";"Восточное окружное управление образования";"Общеобразовательное учреждение";"Центр образования";"(499) 721-52-04; (499) 721-52-05";"cov1495.mskobr.ru";"school2015@mail.ru";"37,895525";"55,71333";"86914852";
104;"Государственное бюджетное образовательное учреждение города Москвы центр образования № 1602";"111625, г. Москва, ул. Златоустовская, д. 3";"Восточный административный округ";"район Косино-Ухтомский";"Государственное";"Восточное окружное управление образования";"Общеобразовательное учреждение";"Центр образования";"700-45-40";"cov1602.mskobr.ru";"schoolco1602@yandex.ru";"37,864996";"55,703902";"86914853";
105;"Государственное бюджетное образовательное учреждение города Москвы центр образования №1637";"111401, г. Москва, ул. 3-я Владимирская, дом 12 А";"Восточный административный округ";"район Перово";"Государственное";"Восточное окружное управление образования";"Общеобразовательное учреждение";"Центр образования";"(495) 672-02-35; (495) 672-01-99; (495) 603-46-09";"cov1637.mskobr.ru";"shkola_1637@inbox.ru";"37,783613";"55,759558";"86914854";
106;"Государственное бюджетное образовательное учреждение города Москвы центр образования №1666 ""Феникс""";"111558, г.Москва, Зеленый пр-кт, д. 75 стр. 1";"Восточный административный округ";"район Новогиреево";"Государственное";"Восточное окружное управление образования";"Общеобразовательное учреждение";"Центр образования";"(495) 302-81-15";"cov1666.mskobr.ru";"UVK1666@mail.ru";"37,813308";"55,752697";"86914856";
107;"Государственное бюджетное образовательное учреждение города Москвы центр образования № 1852";"111399, г. Москва, Федеративный проспект,  11";"Восточный административный округ";"район Перово";"Государственное";"Восточное окружное управление образования";"Общеобразовательное учреждение";"Центр образования";"(495) 305-34-13; (495) 305-76-11; (495) 304-49-60";"cov1852.mskobr.ru";"co1852v@mail.ru";"37,779212";"55,755991";"86914860";
108;"Государственное бюджетное образовательное учреждение города Москвы центр образования № 1927";"111672, г. Москва, ул. Салтыковская, д, 13А";"Восточный административный округ";"район Новокосино";"Государственное";"Восточное окружное управление образования";"Общеобразовательное учреждение";"Центр образования";"702-58-81";"cov1927.mskobr.ru";"mail@sch1927.ru";"37,862854";"55,736459";"86914865";
109;"Государственное бюджетное образовательное учреждение города Москвы центр образования № 491 ""Марьино""";"109651, г. Москва, Новочеркасский бульвар, дом 19";"Юго-Восточный административный округ";"район Марьино";"Государственное";"Юго-Восточное окружное управление образования";"Общеобразовательное учреждение";"Центр образования";"357-52-01";"cog491.mskobr.ru";"ec491.edu@mail.ru";"37,723787";"55,65062";"86914910";
110;"Государственное бюджетное образовательное учреждение города Москвы центр образования № 218";"127434, г. Москва, Дмитровское шоссе, дом 5 А";"Северный административный округ";"Тимирязевский район";"Государственное";"Северное окружное управление образования";"Общеобразовательное учреждение";"Центр образования";"976-40-87";"cog218.mskobr.ru";"sch218.edu@mtu-net.ru";"37,574341";"55,811961";"86914917";
111;"Государственное бюджетное образовательное учреждение города Москвы центр образования № 363";"107258, г. Москва, Алымов пер, дом 15.";"Восточный административный округ";"район Богородское";"Государственное";"Восточное окружное управление образования";"Общеобразовательное учреждение";"Центр образования";"963-32-95";"cog363.mskobr.ru";"school363@yandex.ru";"37,711679";"55,80853";"86914918";
112;"Государственное бюджетное образовательное учреждение города Москвы центр образования № 422 ""Перово""";"111524, г. Москва, ул. Плющева, д.14а";"Восточный административный округ";"район Перово";"Государственное";"Восточное окружное управление образования";"Общеобразовательное учреждение";"Центр образования";"309-26-32";"cog422.mskobr.ru";"school_422@mail.ru";"37,759388";"55,742898";"86914920";
113;"Государственное бюджетное образовательное учреждение города Москвы центр образования № 429 ""Соколиная гора""";"105118, Москва, пр-т Буденного, д.15-а";"Восточный административный округ";"район Соколиная Гора";"Государственное";"Восточное окружное управление образования";"Общеобразовательное учреждение";"Центр образования";"(495) 366-12-51; (495) 365-09-03; (495) 918-24-11; (495) 365-40-82; (495) 365-30-33; (495) 779-09-99; (495) 779-09-98";"cog429.mskobr.ru";"bubman@rambler.ru";"37,725024";"55,775576";"86914922";
114;"Государственное бюджетное образовательное учреждение города Москвы центр образования № 734 ""Школа самоопределения""";"105484, г. Москва, Сиреневый бульвар, 58А";"Восточный административный округ";"район Восточное Измайлово";"Государственное";"Восточное окружное управление образования";"Общеобразовательное учреждение";"Центр образования";"461-43-90";"cog734.mskobr.ru";"school734@yandex.ru";"37,82418";"55,801402";"86914925";
115;"Государственное бюджетное образовательное учреждение города Москвы центр образования № 1811 ""Измайлово""";"105203, г. Москва, Первомайская ул., 111.";"Восточный административный округ";"район Восточное Измайлово";"Государственное";"Восточное окружное управление образования";"Общеобразовательное учреждение";"Центр образования";"(495) 465-14-49";"cog1811.mskobr.ru";"school-1811@mail.ru";"37,815046";"55,794234";"86914926";
116;"Государственное бюджетное образовательное учреждение города Москвы центр образования № 1953 ""Москва-98""";"119607, г. Москва, ул. Удальцова, д.40";"Западный административный округ";"район Проспект Вернадского";"Государственное";"Западное окружное управление образования";"Общеобразовательное учреждение";"Центр образования";"(495) 431-31-67; (495) 431-91-63; (495) 431-91-64; (495) 431-91-65; (495) 431-91-70; (495) 431-91-74; (495) 431-91-74; (495) 431-91-92; (495) 431-91-93; (495) 432-29-86; (495) 432-29-91; (495) 432-32-55; (495) 432-32-56; (495) 432-32-74; (495) 432-32-75; (495) 432-33-05; (495) 432-33-36; (495) 432-33-47; (495) 432-33-57; (495) 432-38-53; (495) 432-38-88; (495) 432-38-90; (495) 432-38-91; (495) 432-39-01; (495) 432-39-23; (495) 432-39-88; (495) 432-39-89";"1953.mskzapad.ru";"director@newolymp.net";"37,493426";"55,684309";"86914927";
117;"Государственное бюджетное образовательное учреждение города Москвы центр образования № 1641";"105005,Москва, Кондрашевский тупик, д. 3А";"Центральный административный округ";"Басманный район";"Государственное";"Центральное окружное управление образования";"Общеобразовательное учреждение";"Центр образования";"(499) 261-22-63";"coc1641.mskobr.ru";"co1641@yandex.ru";"37,706102";"55,779008";"86930428";
118;"Государственное бюджетное образовательное учреждение города Москвы центр образования ""Технологии обучения""";"121151 г. Москва Резервный проезд, д. 10";"Западный административный округ";"район Дорогомилово";"Государственное";"Городское подчинение: Отдел коррекции, психолого-педагогического и социального сопровождения";"Общеобразовательное учреждение";"Центр образования";"232-30-07";"cotg.mskobr.ru";"ishool@i.home-edu.ru";"37,550161";"55,741163";"86930435";
119;"Государственное бюджетное образовательное учреждение города Москвы центр образования № 1497";"121309  г.Москва, ул.Барклая, дом 15,корп. 3";"Западный административный округ";"район Филёвский Парк";"Государственное";"Западное окружное управление образования";"Общеобразовательное учреждение";"Центр образования";"(499) 142-41-26; (499) 142-40-32";"co1497.mskzapad.ru";"dou152@rambler.ru";"37,493087";"55,744761";"86930451";
120;"Государственное бюджетное образовательное учреждение города Москвы центр образования № 686 ""Класс- Центр""";"125130, г. Москва улица Большая Академическая, дом 11А";"Северный административный округ";"район Коптево";"Государственное";"Северное окружное управление образования";"Общеобразовательное учреждение";"Центр образования";"(499) 767-08-76";"cos686.mskobr.ru";"class-center@mail.ru";"37,524751";"55,822014";"86930509";
121;"Государственное бюджетное образовательное учреждение города Москвы центр образования № 771";"127411, г. Москва, ул. Софьи Ковалевской, д. 8 ""А""";"Северный административный округ";"Дмитровский район";"Государственное";"Северное окружное управление образования";"Общеобразовательное учреждение";"Центр образования";"(495) 484-90-88";"schs771.mskobr.ru";"school.771@mail.ru";"37,537129";"55,886484";"86930522";
122;"Государственное бюджетное образовательное учреждение города Москвы центр образования № 1296";"127591, г. Москва, Керамический проезд, дом 55, корпус 3";"Северный административный округ";"район Восточное Дегунино";"Государственное";"Северное окружное управление образования";"Общеобразовательное учреждение";"Центр образования";"900-08-52";"cos1296.mskobr.ru";"edc1296@gmail.com";"37,562767";"55,877592";"86930545";
123;"Государственное бюджетное образовательное учреждение города Москвы центр образования № 1409";"125252, г. Москва, Ходынский бульвар, д.7";"Северный административный округ";"Хорошёвский район";"Государственное";"Северное окружное управление образования";"Общеобразовательное учреждение";"Центр образования";"(499) 740-52-13";"co1409s.mskobr.ru";"co1409@mail.ru";"37,531423";"55,784266";"86930549";
124;"Государственное бюджетное образовательное учреждение города Москвы центр образования № 1419";"127540 г. Москва, Керамический ,д. 47 А";"Северный административный округ";"район Восточное Дегунино";"Государственное";"Северное окружное управление образования";"Общеобразовательное учреждение";"Центр образования";"900-69-00";"schs1419.mskobr.ru";"centr1419@mail.ru";"37,563283";"55,876182";"86930550";
125;"Государственное бюджетное образовательное учреждение города Москвы центр образования № 1424";"125167 г. Москва, Ленинградский пр-кт, д.46";"Северный административный округ";"район Аэропорт";"Государственное";"Северное окружное управление образования";"Общеобразовательное учреждение";"Центр образования";"612-52-41";"co1424s.mskobr.ru";"centr1424@mail.ru";"37,545111";"55,796022";"86930551";
126;"Государственное бюджетное образовательное учреждение города Москвы центр образования № 1474";"125475 г. Москва, ул. Клинская, д.22";"Северный административный округ";"район Ховрино";"Государственное";"Северное окружное управление образования";"Общеобразовательное учреждение";"Центр образования";"451-22-11";"co1474s.mskobr.ru";"scool134@mail.ru";"37,490563";"55,871343";"86930552";
127;"Государственное бюджетное образовательное учреждение города Москвы центр образования № 1481";"125635, г. Москва ул. Ангарская, д. 22-а";"Северный административный округ";"район Западное Дегунино";"Государственное";"Северное окружное управление образования";"Общеобразовательное учреждение";"Центр образования";"(499) 906-84-00; (499) 906-88-00; (499) 906-86-77; (499) 906-86-66";"co1481.mskobr.ru/";"info@co1481.edu.ru";"37,519174";"55,874432";"86930553";
128;"Государственное бюджетное образовательное учреждение города Москвы центр образования № 1487";"127540, г. Москва, Дубнинская ул., д. 18-А";"Северный административный округ";"район Восточное Дегунино";"Государственное";"Северное окружное управление образования";"Общеобразовательное учреждение";"Центр образования";"(499) 481-35-00";"cos1487.mskobr.ru";"school907@mail.ru";"37,5656";"55,869412";"86930554";
129;"Государственное бюджетное образовательное учреждение города Москвы центр образования № 1601";"127220 г. Москва, ул. Нижняя Масловка, д. 16";"Северный административный округ";"Савёловский район";"Государственное";"Северное окружное управление образования";"Общеобразовательное учреждение";"Центр образования";"(495) 685-08-15";"cos1601.mskobr.ru";"centr1601@gmail.com";"37,561036";"55,796364";"86930561";
130;"Государственное бюджетное образовательное учреждение города Москвы центр образования № 1631";"127411, г. Москва, Дмитровское шоссе, дом 137А";"Северный административный округ";"Дмитровский район";"Государственное";"Северное окружное управление образования";"Общеобразовательное учреждение";"Центр образования";"483-03-74";"cos1631.mskobr.ru";"gouzo_1631@mail.ru";"37,539944";"55,892424";"86930562";
131;"Государственное бюджетное образовательное учреждение города Москвы центр образования № 1678 ""Восточное Дегунино""";"127591, г. Москва ул. Дубнинская, д. 46, кор. 2";"Северный административный округ";"район Восточное Дегунино";"Государственное";"Северное окружное управление образования";"Общеобразовательное учреждение";"Центр образования";"480-35-33";"cos1678.mskobr.ru";"centr1678@yandex.ru";"37,560768";"55,891563";"86930563";
132;"Государственное бюджетное образовательное учреждение города Москвы центр образования № 1847";"125315 г. Москва, М. Коптевский пр, д. 3";"Северный административный округ";"район Аэропорт";"Государственное";"Северное окружное управление образования";"Общеобразовательное учреждение";"Центр образования";"(499) 152-22-31; (499) 152-12-05; (499) 152-13-16; (499) 152-93-53; (495) 708-14-96";"cos1847.mskobr.ru";"centr1847@mail.ru";"37,532876";"55,810188";"86930564";
133;"Государственное бюджетное образовательное учреждение города Москвы центр образования № 1865";"125252 г.Москва, ул. Куусинена, д.13";"Северный административный округ";"Хорошёвский район";"Государственное";"Северное окружное управление образования";"Общеобразовательное учреждение";"Центр образования";"(499) 943-26-15";"cos1865.mskobr.ru";"co_1865@mail.ru";"37,513284";"55,783753";"86930565";
134;"Государственное бюджетное образовательное учреждение города Москвы центр образования № 1428";"115404 г. Москва, Ряжская ул. д.13,к.1";"Южный административный округ";"район Бирюлёво Восточное";"Государственное";"Южное окружное управление образования";"Общеобразовательное учреждение";"Центр образования";"(495) 326-96-46; (495) 326-86-36";"cou1428.mskobr.ru";"sch1428@sinergi.ru";"37,670275";"55,591289";"86930616";
135;"Государственное бюджетное образовательное учреждение города Москвы центр образования № 109";"117513 г. Москва, ул. Академика Бакулева, д. 20";"Юго-Западный административный округ";"район Тёплый Стан";"Государственное";"Юго-Западное окружное управление образования";"Общеобразовательное учреждение";"Центр образования";"(499) 737-48-58";"";"sc109@bk.ru";"37,476192";"55,641644";"86930638";
136;"Государственное бюджетное образовательное учреждение города Москвы центр образования № 1948 ""Лингвист-М""";"117420, г.Москва, ул. Новочеремушкинская, дом 64, корпус 2";"Юго-Западный административный округ";"район Зюзино";"Государственное";"Юго-Западное окружное управление образования";"Общеобразовательное учреждение";"Центр образования";"121-54-11";"http://www.couz1948.mskobr.ru";"secretary1@sch1948.ru";"37,584021";"55,663968";"86930646";
137;"Государственное бюджетное образовательное учреждение города Москвы центр образования № 1925";"111673, г. Москва, ул. Новокосинская, д.13 А";"Восточный административный округ";"район Новокосино";"Государственное";"Восточное окружное управление образования";"Общеобразовательное учреждение";"Центр образования";"702-66-76";"cov1925.mskobr.ru";"sch1925@mail.ru";"37,852345";"55,732836";"86930655";
138;"Государственное бюджетное образовательное учреждение города Москвы центр образования № 57 ""Пятьдесят седьмая школа""";"119019 г. Москва, М.Знаменский пер.,д.7/10, стр.5";"Центральный административный округ";"район Хамовники";"Государственное";"Центральное окружное управление образования";"Общеобразовательное учреждение";"Центр образования";"(495) 691-85-72";"coc57.mskobr.ru";"co.school57@yandex.ru";"37,604978";"55,748284";"86930659";
139;"Негосударственное образовательное учреждение международный центр образования ""Атлантик""";"";"Юго-Восточный административный округ";"Южнопортовый район";"Негосударственное";"Негосударственное";"Общеобразовательное учреждение";"Центр образования";"(495) 661-86-91";"nouatlantic.mskobr.ru";"info@atlanticschool.ru";"37,67223";"55,717473";"86930675";
140;"Негосударственное образовательное частное учреждение Центр образования «Владимира»";"";"Юго-Восточный административный округ";"Южнопортовый район";"Негосударственное";"Негосударственное";"Общеобразовательное учреждение";"Центр образования";"(495) 728-36-07,(495) 728-36-08";"nouvladimira.mskobr.ru";"vladimiracenter@mail.ru";"37,671862";"55,70774";"86930676";
141;"Государственное бюджетное образовательное учреждение города Москвы центр образования № 1457";"109145, г.Москва, Хвалынский бульвар, д. 4, корпус 4";"Юго-Восточный административный округ";"район Выхино-Жулебино";"Государственное";"Юго-Восточное окружное управление образования";"Общеобразовательное учреждение";"Центр образования";"705-52-11";"couv1457.mskobr.ru";"centrobraz1457@yandex.ru";"37,849331";"55,700341";"86930758";
142;"Государственное бюджетное образовательное учреждение города Москвы центр образования № 1681 ""Бутово-3""";"117216, г. Москва, бульвар Дмитрия Донского, д. 14А";"Юго-Западный административный округ";"район Северное Бутово";"Государственное";"Юго-Западное окружное управление образования";"Общеобразовательное учреждение";"Центр образования";"711-51-63";"http://couz1681.mskobr.ru/";"center1681@mosuzedu.ru";"37,566452";"55,566306";"86931073";
143;"Государственное бюджетное образовательное учреждение города Москвы центр образования № 1694 ""Ясенево""";"117593, г. Москва, Литовский бульвар, дом 11, корпус 6";"Юго-Западный административный округ";"район Ясенево";"Государственное";"Юго-Западное окружное управление образования";"Общеобразовательное учреждение";"Центр образования";"426-77-88";"";"info@co1694.ru";"37,550919";"55,613153";"86931076";
144;"Государственное бюджетное образовательное учреждение города Москвы центр образования № 1863";"117042, г. Москва, улица Поляны, дом 31А";"Юго-Западный административный округ";"район Южное Бутово";"Государственное";"Юго-Западное окружное управление образования";"Общеобразовательное учреждение";"Центр образования";"716-80-45";"http://couz1863.mskobr.ru/";"center1863@mosuzedu.ru";"37,552023";"55,552207";"86931095";
145;"Государственное бюджетное образовательное учреждение города Москвы центр образования № 644 ""Гармония""";"125480, г. Москва, ул. Вилиса Лациса, д. 11, корп. 2";"Северо-Западный административный округ";"район Северное Тушино";"Государственное";"Северо-Западное окружное управление образования";"Общеобразовательное учреждение";"Центр образования";"495-12-46";"co644.mskobr.ru";"sch644@szouo.ru";"37,42693";"55,862596";"86931109";
146;"Государственное бюджетное образовательное учреждение города Москвы центр образования № 1089 ""Коллаж""";"123154, г.Москва, ул.Берзарина, д.19, корп.2";"Северо-Западный административный округ";"район Хорошёво-Мнёвники";"Государственное";"Северо-Западное окружное управление образования";"Общеобразовательное учреждение";"Центр образования";"197-00-97";"cosz1089.mskobr.ru";"sch1089@szouo.ru";"37,476475";"55,786788";"86931110";
147;"Государственное бюджетное образовательное учреждение города Москвы центр образования № 1619 имени М.И. Цветаевой";"123458, г. Москва, ул. Таллинская, д. 20, корп. 4";"Северо-Западный административный округ";"район Строгино";"Государственное";"Северо-Западное окружное управление образования";"Общеобразовательное учреждение";"Центр образования";"758-10-72";"co1619.mskobr.ru";"cntr1619@mail.ru";"37,404653";"55,797329";"86931111";
148;"Государственное бюджетное образовательное учреждение города Москвы ""Московский центр технологической модернизации образования""";"107076 г. Москва, 1-й Зборовский переулок, д. 3";"Восточный административный округ";"район Соколиная Гора";"Государственное";"Городское подчинение ДОгМ (для гор центров)";"Образовательное учреждение дополнительного профессионального образования";"Центр образования";"369-05-95";"rezerv.dop.mskobr.ru";"mduc_rezerv@bk.ru";"37,705414";"55,799899";"86931202";
149;"Государственное бюджетное образовательное учреждение города Москвы Центр образования ""Чертаново"" Департамента физической культуры и спорта города Москвы";"";"Южный административный округ";"район Чертаново Северное";"Государственное";"Департамент физической культуры и спорта";"Общеобразовательное учреждение";"Центр образования";"(495) 311-80-18";"";"chertanovo@mossport.ru";"37,601371";"55,630894";"86931233";
150;"Государственное бюджетное образовательное учреждение города Москвы Центр образования ""Самбо-70"" Департамента физической культуры и спорта города Москвы";"";"Юго-Западный административный округ";"район Тёплый Стан";"Государственное";"Департамент физической культуры и спорта";"Общеобразовательное учреждение";"Центр образования";"(495) 339-69-44,(495) 339-77-11";"";"admin@sambo-70.ru";"37,487486";"55,631148";"86931238";
151;"Государственное бюджетное образовательное учреждение среднего профессионального образования города Москвы ""Колледж физической культуры и спорта ""Спарта"" Департамента физической культуры и спорта города Москвы";"";"Западный административный округ";"район Кунцево";"Государственное";"Департамент физической культуры и спорта";"Образовательное учреждение среднего профессионального образования";"Центр образования";"(499) 149-29-68";"";"Sparta@mossport.ru";"37,401729";"55,747596";"86931239";
