ROWNUM;name;adress;okrug;rayon;form_of_incorporation;submission;tip_uchrezhdeniya;vid_uchrezhdeniyz;telephone;web_site;e_mail;X;Y;global_id;
78;"Государственное бюджетное образовательное учреждение города Москвы центр образования № 504 ""Полюс""";"117556, г. Москва, Варшавское ш., д. 67";"Южный административный округ";"район Чертаново Южное";"Государственное";"Южное окружное управление образования";"Общеобразовательное учреждение";"Лицей";"(495) 389-15-27";"сou504.mskobr.ru";"sch504@sinergi.ru";"37,621491";"55,663948";"87029758";
79;"Государственное бюджетное образовательное учреждение города Москвы центр образования № 504 ""Полюс""";"117556, г. Москва, Варшавское ш., д. 67";"Южный административный округ";"район Чертаново Южное";"Государственное";"Южное окружное управление образования";"Общеобразовательное учреждение";"Лицей";"(495) 389-15-27";"сou504.mskobr.ru";"sch504@sinergi.ru";"37,591433";"55,599983";"87029759";
80;"Государственное бюджетное образовательное учреждение города Москвы центр образования № 504 ""Полюс""";"117556, г. Москва, Варшавское ш., д. 67";"Южный административный округ";"район Чертаново Южное";"Государственное";"Южное окружное управление образования";"Общеобразовательное учреждение";"Лицей";"(495) 389-15-27";"сou504.mskobr.ru";"sch504@sinergi.ru";"37,626958";"55,667743";"87029760";
81;"Государственное бюджетное образовательное учреждение города Москвы лицей № 1571";"125481, г. Москва, ул. Фомичевой, д. 1, корп. 1";"Северо-Западный административный округ";"район Северное Тушино";"Государственное";"Северо-Западное окружное управление образования";"Общеобразовательное учреждение";"Лицей";"(495) 492-35-11; (495) 492-35-71";"lyc1571.mskobr.ru";"lic1571@szouo.ru";"37,444173";"55,864583";"87029777";
82;"Государственное бюджетное образовательное учреждение города Москвы лицей № 1571";"125481, г. Москва, ул. Фомичевой, д. 1, корп. 1";"Северо-Западный административный округ";"район Северное Тушино";"Государственное";"Северо-Западное окружное управление образования";"Общеобразовательное учреждение";"Лицей";"(495) 492-35-11; (495) 492-35-71";"lyc1571.mskobr.ru";"lic1571@szouo.ru";"37,440873";"55,854644";"87029778";
83;"Государственное бюджетное образовательное учреждение города Москвы лицей № 1571";"125481, г. Москва, ул. Фомичевой, д. 1, корп. 1";"Северо-Западный административный округ";"район Северное Тушино";"Государственное";"Северо-Западное окружное управление образования";"Общеобразовательное учреждение";"Лицей";"(495) 492-35-11; (495) 492-35-71";"lyc1571.mskobr.ru";"lic1571@szouo.ru";"37,441841";"55,862819";"87029779";
84;"Государственное бюджетное образовательное учреждение города Москвы лицей № 1571";"125481, г. Москва, ул. Фомичевой, д. 1, корп. 1";"Северо-Западный административный округ";"район Северное Тушино";"Государственное";"Северо-Западное окружное управление образования";"Общеобразовательное учреждение";"Лицей";"(495) 492-35-11; (495) 492-35-71";"lyc1571.mskobr.ru";"lic1571@szouo.ru";"37,446775";"55,857583";"87029780";
85;"Государственное бюджетное образовательное учреждение города Москвы лицей № 1571";"125481, г. Москва, ул. Фомичевой, д. 1, корп. 1";"Северо-Западный административный округ";"район Северное Тушино";"Государственное";"Северо-Западное окружное управление образования";"Общеобразовательное учреждение";"Лицей";"(495) 492-35-11; (495) 492-35-71";"lyc1571.mskobr.ru";"lic1571@szouo.ru";"37,442863";"55,854477";"87029781";
86;"Государственное бюджетное образовательное учреждение города Москвы лицей № 1598";"107589, г.Москва, ул. Хабаровская, д. 18А";"Восточный административный округ";"район Гольяново";"Государственное";"Восточное окружное управление образования";"Общеобразовательное учреждение";"Лицей";"(495) 466-34-14; (495) 466-34-52";"lycv1598.mskobr.ru/";"info-1598@yandex.ru";"37,829177";"55,819328";"87029985";
87;"Государственное бюджетное образовательное учреждение города Москвы лицей № 1525 ""Воробьевы горы""";"119334, г. Москва, ул. Косыгина, дом 17";"Юго-Западный административный округ";"Гагаринский район";"Государственное";"Юго-Западное окружное управление образования";"Общеобразовательное учреждение";"Лицей";"939-86-70";"http://lycg1525.mskobr.ru/";"info@licey1525.ru";"37,55282";"55,702144";"87029986";
88;"Государственное бюджетное образовательное учреждение города Москвы лицей № 1525 ""Воробьевы горы""";"119334, г. Москва, ул. Косыгина, дом 17";"Юго-Западный административный округ";"Гагаринский район";"Государственное";"Юго-Западное окружное управление образования";"Общеобразовательное учреждение";"Лицей";"939-86-70";"http://lycg1525.mskobr.ru/";"info@licey1525.ru";"37,555175";"55,702928";"87029987";
89;"Государственное бюджетное образовательное учреждение города Москвы лицей № 1525 ""Воробьевы горы""";"119334, г. Москва, ул. Косыгина, дом 17";"Юго-Западный административный округ";"Гагаринский район";"Государственное";"Юго-Западное окружное управление образования";"Общеобразовательное учреждение";"Лицей";"939-86-70";"http://lycg1525.mskobr.ru/";"info@licey1525.ru";"37,554346";"55,702554";"87029988";
90;"Государственное бюджетное образовательное учреждение города Москвы лицей № 1525 ""Воробьевы горы""";"119334, г. Москва, ул. Косыгина, дом 17";"Юго-Западный административный округ";"Гагаринский район";"Государственное";"Юго-Западное окружное управление образования";"Общеобразовательное учреждение";"Лицей";"939-86-70";"http://lycg1525.mskobr.ru/";"info@licey1525.ru";"37,553572";"55,70229";"87029989";
91;"Государственное бюджетное образовательное учреждение города Москвы лицей № 1525 ""Воробьевы горы""";"119334, г. Москва, ул. Косыгина, дом 17";"Юго-Западный административный округ";"Гагаринский район";"Государственное";"Юго-Западное окружное управление образования";"Общеобразовательное учреждение";"Лицей";"939-86-70";"http://lycg1525.mskobr.ru/";"info@licey1525.ru";"37,555832";"55,704718";"87029990";
