"","OBJECTID","name","adress","okrug","rayon","form_of_incorporation","submission","tip_uchrezhdeniya","vid_uchrezhdeniya","telephone","web_site","e_mail","ID","ORIG_FID","POINT_X","POINT_Y","r500","r800","r1000"
"628",628,"Государственное бюджетное образовательное учреждение города Москвы средняя общеобразовательная школа № 190","117335, г. Москва, Профсоюзная ул., дом 40, кор.2","Юго-Западный административный округ","район Черёмушки","Государственное","Юго-Западное окружное управление образования","Общеобразовательное учреждение","Средняя общеобразовательная школа","128-18-11","http://schuz190.mskobr.ru/","sch190@mosuzedu.ru",407,407,37.556594,55.676168,236.502029116873,296.710975751187,315.242887570147
"629",629,"Государственное бюджетное образовательное учреждение города Москвы средняя общеобразовательная школа № 1902","109341, г. Москва, Мячковский бульвар, д. 10, корп. 2","Юго-Восточный административный округ","район Марьино","Государственное","Юго-Восточное окружное управление образования","Общеобразовательное учреждение","Средняя общеобразовательная школа","347-88-31","schuv1902.mskobr.ru","sch1902@nm.ru",408,408,37.750493,55.655079,200.046704674384,268.449407967819,325.518203012399
"630",630,"Государственное бюджетное образовательное учреждение города Москвы средняя общеобразовательная школа № 1904","109652, г. Москва, ул. Люблинская, д. 167","Юго-Восточный административный округ","район Марьино","Государственное","Юго-Восточное окружное управление образования","Общеобразовательное учреждение","Средняя общеобразовательная школа","658-57-75","schuv1904.mskobr.ru","school1904@rambler.ru",409,409,37.747415,55.649808,189.673048167926,222.122665601149,248.266990515876
"631",631,"Государственное бюджетное образовательное учреждение города Москвы средняя общеобразовательная школа № 1905","109153, г. Москва, ул. Маршала Полубоярова, д. 22","Юго-Восточный административный округ","район Выхино-Жулебино","Государственное","Юго-Восточное окружное управление образования","Общеобразовательное учреждение","Средняя общеобразовательная школа","(495) 705-67-00","schuv1905.mskobr.ru/","sch1905@mail.ru",410,410,37.860302,55.682577,230.895636881304,281.017579994926,335.66720221664
"632",632,"Государственное бюджетное образовательное учреждение города Москвы средняя общеобразовательная школа № 1908","109156, г. Москва, ул. Привольная, 41","Юго-Восточный административный округ","район Выхино-Жулебино","Государственное","Юго-Восточное окружное управление образования","Общеобразовательное учреждение","Средняя общеобразовательная школа","704-52-11","www.schuv1908.mskobr.ru","s1908k405@yandex.ru",411,411,37.849793,55.689193,268.81708375273,302.156395478623,330.119644203608
"633",633,"Государственное бюджетное образовательное учреждение города Москвы средняя общеобразовательная школа № 1909","109156, город Москва, ул. Маршала Полубоярова, дом 12","Юго-Восточный административный округ","район Выхино-Жулебино","Государственное","Юго-Восточное окружное управление образования","Общеобразовательное учреждение","Средняя общеобразовательная школа","704-40-51","schuv1909.mskobr.ru","sch1909@narod.ru",412,412,37.862304,55.686497,208.362969849738,270.816479813077,345.116504055441
"634",634,"Государственное бюджетное образовательное учреждение города Москвы средняя общеобразовательная школа № 191","117218, г.Москва, ул. Профсоюзная, д. 15 А","Юго-Западный административный округ","Академический район","Государственное","Юго-Западное окружное управление образования","Общеобразовательное учреждение","Средняя общеобразовательная школа","125-63-55","http://schuz191.mskobr.ru","sch191@mosuzedu.ru",413,413,37.568387,55.678202,322.773088743368,451.083051654442,477.732936358146
"635",635,"Государственное бюджетное образовательное учреждение города Москвы средняя общеобразовательная школа № 1910","109469, г. Москва, Мячковский бульвар, дом 25","Юго-Восточный административный округ","район Марьино","Государственное","Юго-Восточное окружное управление образования","Общеобразовательное учреждение","Средняя общеобразовательная школа","348-72-00","sch1910uv.mskobr.ru","sch1910@mail.ru",414,414,37.761962,55.650695,229.308549793165,249.180839159073,259.908932817381
"636",636,"Государственное бюджетное образовательное учреждение города Москвы средняя общеобразовательная школа № 1912","124683, г. Москва, Зеленоград, корп. 1816","Зеленоградский административный округ","район Крюково","Государственное","Зеленоградское окружное управление образования","Общеобразовательное учреждение","Средняя общеобразовательная школа","(499) 738-00-55","dsoz2353.mskobr.ru","s1912@zou.ru",415,415,37.165213,55.981271,228.418492309656,257.221798692068,315.046774576051
"637",637,"Государственное бюджетное образовательное учреждение города Москвы средняя общеобразовательная школа № 1912","124683, г. Москва, Зеленоград, корп. 1816","Зеленоградский административный округ","район Крюково","Государственное","Зеленоградское окружное управление образования","Общеобразовательное учреждение","Средняя общеобразовательная школа","(499) 738-00-55","dsoz2353.mskobr.ru","s1912@zou.ru",415,415,37.165313,55.982141,182.607806924205,277.943658543765,313.835564148091
"638",638,"Государственное бюджетное образовательное учреждение города Москвы средняя общеобразовательная школа № 1912","124683, г. Москва, Зеленоград, корп. 1816","Зеленоградский административный округ","район Крюково","Государственное","Зеленоградское окружное управление образования","Общеобразовательное учреждение","Средняя общеобразовательная школа","(499) 738-00-55","dsoz2353.mskobr.ru","s1912@zou.ru",415,415,37.166146,55.981316,237.130488663805,283.940709226843,353.159110181939
"639",639,"Государственное бюджетное образовательное учреждение города Москвы средняя общеобразовательная школа № 1913","124365, г. Москва, Зеленоград, корп. 1632","Зеленоградский административный округ","район Крюково","Государственное","Зеленоградское окружное управление образования","Общеобразовательное учреждение","Средняя общеобразовательная школа","(499) 738-55-41; (499) 738-55-39; (499) 738-55-38; (499) 717-14-29; (499) 738-58-88; (499) 738-00-22; (499) 738-55-40; (499) 738-51-10; (499) 738-55-11","schzg1913.mskobr.ru","s1913@zou.ru",416,416,37.160523,55.972208,239.0108122361,363.562018520921,367.904235948004
"640",640,"Государственное бюджетное образовательное учреждение города Москвы средняя общеобразовательная школа № 1916","117042, г. Москва, Чечёрский проезд, дом 6","Юго-Западный административный округ","район Южное Бутово","Государственное","Юго-Западное окружное управление образования","Общеобразовательное учреждение","Средняя общеобразовательная школа","716-51-63","schuz1916.mskobr.ru","info@school1916.mosuzedu.ru",417,417,37.544107,55.542784,287.093088077029,385.553376802766,387.754240818584
"641",641,"Государственное бюджетное образовательное учреждение города Москвы средняя общеобразовательная школа № 192","119334, г.Москва, Ленинский проспект, д. 34А","Юго-Западный административный округ","Гагаринский район","Государственное","Юго-Западное окружное управление образования","Общеобразовательное учреждение","Средняя общеобразовательная школа","137-72-85","http://schuz192.mskobr.ru/","",418,418,37.572533,55.706797,424.147081831637,512.088083612691,625.572310411256
"642",642,"Государственное бюджетное образовательное учреждение города Москвы средняя общеобразовательная школа № 1922","109153, г. Москва, ул. Привольная, д. 45","Юго-Восточный административный округ","район Выхино-Жулебино","Государственное","Юго-Восточное окружное управление образования","Общеобразовательное учреждение","Средняя общеобразовательная школа","705-81-22","schuv1922.mskobr.ru","scholl_1922@mail.ru",419,419,37.846778,55.687387,268.926868886067,300.285480718838,405.446174255618
"643",643,"Государственное бюджетное образовательное учреждение города Москвы средняя общеобразовательная школа № 1924","111673, г. Москва,  улица  Новокосинская,  дом 13Б","Восточный административный округ","район Новокосино","Государственное","Восточное окружное управление образования","Общеобразовательное учреждение","Средняя общеобразовательная школа","(495) 702-66-20; (495) 702-80-00","schv1924.mskobr.ru","school1924@mail.ru",420,420,37.85156,55.7362,147.892123045844,197.116436625276,224.028008116217
"644",644,"Государственное бюджетное образовательное учреждение города Москвы средняя общеобразовательная школа № 1929","115211 г. Москва, Борисовские пруды д.12,к.2","Южный административный округ","район Братеево","Государственное","Южное окружное управление образования","Общеобразовательное учреждение","Средняя общеобразовательная школа","341-59-96","http://schu1929.mskobr.ru/","sch1929@sinergi.ru",421,421,37.743405,55.635384,206.014386864975,270.148924289421,277.305910763219
"645",645,"Государственное бюджетное образовательное учреждение города Москвы средняя общеобразовательная школа № 193","117418, г.Москва, улица Новочерёмушкинская, дом 56, корпус 2","Юго-Западный административный округ","район Черёмушки","Государственное","Юго-Западное окружное управление образования","Общеобразовательное учреждение","Средняя общеобразовательная школа","(499) 128-82-09","http://schuz193.mskobr.ru/","sch193@ou.mosuzedu.ru",422,422,37.563846,55.669386,221.094064794495,268.573994689095,271.64710551118
"646",646,"Государственное бюджетное образовательное учреждение города Москвы средняя общеобразовательная школа № 1931","117042, г. Москва, Чечёрский проезд, дом 42","Юго-Западный административный округ","район Южное Бутово","Государственное","Юго-Западное окружное управление образования","Общеобразовательное учреждение","Средняя общеобразовательная школа","715-62-27","http://schuz1931.mskobr.ru","sch1931@mosuzedu.ru",423,423,37.53278,55.534549,196.814472676941,274.949111931991,363.431893524483
"647",647,"Государственное бюджетное образовательное учреждение города Москвы средняя общеобразовательная школа № 1933","119634 г. Москва, ул Чоботовская, дом 8.","Западный административный округ","район Ново-Переделкино","Государственное","Западное окружное управление образования","Общеобразовательное учреждение","Средняя общеобразовательная школа","732-95-33","sch1933.mskzapad.ru","school1933@mail.ru",424,424,37.349302,55.646655,338.273792465981,425.953772845371,462.292808650114
"648",648,"Государственное бюджетное образовательное учреждение города Москвы средняя общеобразовательная школа № 1935","109431, г. Москва, ул. Авиаконструктора Миля, дом 18, корпус 2","Юго-Восточный административный округ","район Выхино-Жулебино","Государственное","Юго-Восточное окружное управление образования","Общеобразовательное учреждение","Средняя общеобразовательная школа","(495) 704-08-40; (495) 704-26-11; (495) 705-85-11","schuv1935.mskobr.ru","sch1935@mail.ru",425,425,37.855391,55.680497,204.585798048728,220.089306068032,240.272170478389
"649",649,"Государственное бюджетное образовательное учреждение города Москвы средняя общеобразовательная школа № 1937","109444, г. Москва, Самаркандский бульвар, д. 28, корпус 2","Юго-Восточный административный округ","район Выхино-Жулебино","Государственное","Юго-Восточное окружное управление образования","Общеобразовательное учреждение","Средняя общеобразовательная школа","377-62-29","schuv1937.mskobr.ru","sch1937@yandex.ru",426,426,37.814686,55.699735,229.389670638446,252.900730818253,302.925475874955
"650",650,"Государственное бюджетное образовательное учреждение города Москвы средняя общеобразовательная школа № 1940","124365, г. Москва, Зеленоград, корп. 1642","Зеленоградский административный округ","район Крюково","Государственное","Зеленоградское окружное управление образования","Общеобразовательное учреждение","Средняя общеобразовательная школа","(499) 717-04-93","schzg1940.mskobr.ru/","s1940@zou.ru",427,427,37.152232,55.970814,208.861949736797,370.647020139823,454.661089133762
"651",651,"Государственное бюджетное образовательное учреждение города Москвы средняя общеобразовательная школа № 1940","124365, г. Москва, Зеленоград, корп. 1642","Зеленоградский административный округ","район Крюково","Государственное","Зеленоградское окружное управление образования","Общеобразовательное учреждение","Средняя общеобразовательная школа","(499) 717-04-93","schzg1940.mskobr.ru/","s1940@zou.ru",427,427,37.159238,55.97519,222.697903655404,275.42495066653,329.740899711915
"652",652,"Государственное бюджетное образовательное учреждение города Москвы средняя общеобразовательная школа № 1943","125222, г. Москва,Уваровский переулок, д. 8","Северо-Западный административный округ","район Митино","Государственное","Северо-Западное окружное управление образования","Общеобразовательное учреждение","Средняя общеобразовательная школа","794-40-75","co1943.mskobr.ru/","sch1943@szouo.ru",428,428,37.349139,55.828354,237.014505008522,333.360857026236,394.123117273107
"653",653,"Государственное бюджетное образовательное учреждение города Москвы средняя общеобразовательная школа № 1943","125222, г. Москва,Уваровский переулок, д. 8","Северо-Западный административный округ","район Митино","Государственное","Северо-Западное окружное управление образования","Общеобразовательное учреждение","Средняя общеобразовательная школа","794-40-75","co1943.mskobr.ru/","sch1943@szouo.ru",428,428,37.34971,55.830105,198.174747100042,236.583203509769,360.227067879737
"654",654,"Государственное бюджетное образовательное учреждение города Москвы средняя общеобразовательная школа № 1943","125222, г. Москва,Уваровский переулок, д. 8","Северо-Западный административный округ","район Митино","Государственное","Северо-Западное окружное управление образования","Общеобразовательное учреждение","Средняя общеобразовательная школа","794-40-75","co1943.mskobr.ru/","sch1943@szouo.ru",428,428,37.35014,55.83291,186.945753237299,197.845281267567,296.845550220706
"655",655,"Государственное бюджетное образовательное учреждение города Москвы средняя общеобразовательная школа № 1943","125222, г. Москва,Уваровский переулок, д. 8","Северо-Западный административный округ","район Митино","Государственное","Северо-Западное окружное управление образования","Общеобразовательное учреждение","Средняя общеобразовательная школа","794-40-75","co1943.mskobr.ru/","sch1943@szouo.ru",428,428,37.352043,55.829701,147.680630679063,261.025643513039,284.873039779918
"656",656,"Государственное бюджетное образовательное учреждение города Москвы средняя общеобразовательная школа № 1945","117628, г.Москва, ул. Старокачаловская, вл.22","Юго-Западный административный округ","район Северное Бутово","Государственное","Юго-Западное окружное управление образования","Общеобразовательное учреждение","Средняя общеобразовательная школа","713-68-72","","s1945@mail.ru",429,429,37.58465,55.570399,261.642184975683,393.610064239198,401.022148044957
"657",657,"Государственное бюджетное образовательное учреждение города Москвы средняя общеобразовательная школа № 1946","117042, г.Москва, ул. Южнобутовская, д. 135 А","Юго-Западный административный округ","район Южное Бутово","Государственное","Юго-Западное окружное управление образования","Общеобразовательное учреждение","Средняя общеобразовательная школа","715-26-37","http://schuz1946.mskobr.ru","school_1946@mail.ru",430,430,37.514595,55.530653,218.143596884153,267.373891295607,334.959089402018
"658",658,"Государственное бюджетное образовательное учреждение города Москвы средняя общеобразовательная школа № 1947","105187,  г. Москва,  ул.  Щербаковская,  д. 36А","Восточный административный округ","район Соколиная Гора","Государственное","Восточное окружное управление образования","Общеобразовательное учреждение","Средняя общеобразовательная школа","369-38-68","schv1947.mskobr.ru","sc1947@yandex.ru",431,431,37.732343,55.78198,243.028865671616,301.991187536943,348.167953214138
"659",659,"Государственное бюджетное образовательное учреждение города Москвы средняя общеобразовательная школа № 1956","127521 г. Москва, Старомарьинское шоссе, д.5","Северо-Восточный административный округ","район Марьина Роща","Государственное","Северо-Восточное окружное управление образования","Общеобразовательное учреждение","Средняя общеобразовательная школа","618-14-55","sch1956.svao.mskobr.ru","school-1956@yandex.ru",432,432,37.610452,55.80306,227.686422899275,390.930055253046,474.80123327203
"660",660,"Государственное бюджетное образовательное учреждение города Москвы средняя общеобразовательная школа № 1961","117042, г. Москва, ул. Южнобутовская, д. 76, корп. 1","Юго-Западный административный округ","район Южное Бутово","Государственное","Юго-Западное окружное управление образования","Общеобразовательное учреждение","Средняя общеобразовательная школа","715-80-54","http://schuz1961.mskobr.ru","sch1961@yandex.ru",433,433,37.518507,55.535751,252.869252327547,330.088675804574,363.011243565225
"661",661,"Государственное бюджетное образовательное учреждение города Москвы средняя общеобразовательная школа № 1965","109341, г. Москва, ул. Перерва, д. 41, корпус 2","Юго-Восточный административный округ","район Марьино","Государственное","Юго-Восточное окружное управление образования","Общеобразовательное учреждение","Средняя общеобразовательная школа","345-05-61","schuv1965.mskobr.ru","scholl1965@inbox.ru",434,434,37.745381,55.660191,109.178484075479,159.049263372207,173.627289810737
"662",662,"Государственное бюджетное образовательное учреждение города Москвы средняя общеобразовательная школа № 1968","109451, г. Москва, ул. Верхние поля, д. 30","Юго-Восточный административный округ","район Марьино","Государственное","Юго-Восточное окружное управление образования","Общеобразовательное учреждение","Средняя общеобразовательная школа","658-52-67","schuv1968.mskobr.ru","ofis1968@mail.ru",435,435,37.757702,55.666565,205.785159706963,254.673483539194,293.755214608309
"663",663,"Государственное бюджетное образовательное учреждение города Москвы средняя общеобразовательная школа № 197","117447, г.Москва, улица Новочеремушкинская, дом 11 А","Юго-Западный административный округ","Академический район","Государственное","Юго-Западное окружное управление образования","Общеобразовательное учреждение","Средняя общеобразовательная школа","129-71-55","http://schuz197.mskobr.ru/","school-197@yandex.ru",436,436,37.586364,55.685945,260.735063490668,324.337877156568,364.252030416257
"664",664,"Государственное бюджетное образовательное учреждение города Москвы средняя общеобразовательная школа № 1970","117042, г.Москва, Чечёрский проезд, дом 22, корпус 1","Юго-Западный административный округ","район Южное Бутово","Государственное","Юго-Западное окружное управление образования","Общеобразовательное учреждение","Средняя общеобразовательная школа","716-03-00","http://schuz1970.mskobr.ru","sch19702002@mail.ru",437,437,37.540042,55.538477,181.557792141265,406.362785444926,445.948667906691
"665",665,"Государственное бюджетное образовательное учреждение города Москвы средняя общеобразовательная школа № 1971","117042, город Москва, ул. Южнобутовская, д. 52, корпуса 1, 2","Юго-Западный административный округ","район Южное Бутово","Государственное","Юго-Западное окружное управление образования","Общеобразовательное учреждение","Средняя общеобразовательная школа","716-27-90","http://schuz1971.mskobr.ru","sch1971@mosuzedu.ru",438,438,37.529631,55.539038,335.000389909471,374.090448858911,435.236540524801
"666",666,"Государственное бюджетное образовательное учреждение города Москвы средняя общеобразовательная школа № 1972","117041, г.Москва, улица Бартеневская, дом 49, корпус 4","Юго-Западный административный округ","район Южное Бутово","Государственное","Юго-Западное окружное управление образования","Общеобразовательное учреждение","Средняя общеобразовательная школа","715-59-54","http://schuz1972.mskobr.ru","info@sch1972.net",439,439,37.519554,55.544873,186.941662180261,245.459997150743,277.760000779614
"667",667,"Государственное бюджетное образовательное учреждение города Москвы средняя общеобразовательная школа № 1974","119017 г.Москва, 1-ый Казачий пер., д. 10, стр.1","Центральный административный округ","район Якиманка","Государственное","Центральное окружное управление образования","Общеобразовательное учреждение","Средняя общеобразовательная школа","238-14-01","schc1974.mskobr.ru/","cao1974@mail.ru",440,440,37.621741,55.735694,399.14681183837,488.653094302675,539.598463749438
"668",668,"Государственное бюджетное образовательное учреждение города Москвы средняя общеобразовательная школа № 198","119334, г. Москва, Ленинский проспект, д.39А","Юго-Западный административный округ","Гагаринский район","Государственное","Юго-Западное окружное управление образования","Общеобразовательное учреждение","Средняя общеобразовательная школа","(499) 135-86-19","http://schzuz198.mskobr.ru","school198@rambler.ru",441,441,37.582577,55.705636,406.17820177379,503.718361069808,532.020312471803
"669",669,"Государственное бюджетное образовательное учреждение города Москвы средняя общеобразовательная школа № 198","119334, г. Москва, Ленинский проспект, д.39А","Юго-Западный административный округ","Гагаринский район","Государственное","Юго-Западное окружное управление образования","Общеобразовательное учреждение","Средняя общеобразовательная школа","(499) 135-86-19","http://schzuz198.mskobr.ru","school198@rambler.ru",441,441,37.58287,55.705893,377.946843317484,492.901841781645,515.663841986026
"670",670,"Государственное бюджетное образовательное учреждение города Москвы средняя общеобразовательная школа № 1980","117042, г. Москва, Чечерский проезд, дом 56","Юго-Западный административный округ","район Южное Бутово","Государственное","Юго-Западное окружное управление образования","Общеобразовательное учреждение","Средняя общеобразовательная школа","715-51-36","","sch1980@mosuzedu.ru",442,442,37.528811,55.532462,261.833161696032,277.592697825994,352.918227277539
"671",671,"Государственное бюджетное образовательное учреждение города Москвы средняя общеобразовательная школа № 1981","117042, г.Москва, ул. Бартеневская, д. 27","Юго-Западный административный округ","район Южное Бутово","Государственное","Юго-Западное окружное управление образования","Общеобразовательное учреждение","Средняя общеобразовательная школа","717-17-54","http://schuz1981.mskobr.ru/","school1981@mosuzedu.ru",443,443,37.530068,55.549346,242.001962480282,289.164625817863,307.192195338258
"672",672,"Государственное бюджетное образовательное учреждение города Москвы средняя общеобразовательная школа № 1985","125466, г. Москва, ул. Ландышевая, дом 8","Северо-Западный административный округ","район Куркино","Государственное","Северо-Западное окружное управление образования","Общеобразовательное учреждение","Средняя общеобразовательная школа","(499) 401-98-19","cosz1985.mskobr.ru","sch1985@szouo.ru",444,444,37.391957,55.887157,319.605112160699,420.764075800379,514.744304094269
"673",673,"Государственное бюджетное образовательное учреждение города Москвы средняя общеобразовательная школа № 1985","125466, г. Москва, ул. Ландышевая, дом 8","Северо-Западный административный округ","район Куркино","Государственное","Северо-Западное окружное управление образования","Общеобразовательное учреждение","Средняя общеобразовательная школа","(499) 401-98-19","cosz1985.mskobr.ru","sch1985@szouo.ru",444,444,37.398425,55.890887,320.3192641795,443.367328712334,503.273442631912
"674",674,"Государственное бюджетное образовательное учреждение города Москвы средняя общеобразовательная школа № 1985","125466, г. Москва, ул. Ландышевая, дом 8","Северо-Западный административный округ","район Куркино","Государственное","Северо-Западное окружное управление образования","Общеобразовательное учреждение","Средняя общеобразовательная школа","(499) 401-98-19","cosz1985.mskobr.ru","sch1985@szouo.ru",445,445,37.39494,55.884629,374.471385908736,498.454003975099,558.186462079297
"675",675,"Государственное бюджетное образовательное учреждение города Москвы средняя общеобразовательная школа № 1986 имени Героя Советского Союза М.П.Судакова","109559, г. Москва, ул. Новороссийская, д. 36","Юго-Восточный административный округ","район Люблино","Государственное","Юго-Восточное окружное управление образования","Общеобразовательное учреждение","Средняя общеобразовательная школа","359-55-01","schuv1986.mskobr.ru","shk1986@yandex.ru",446,446,37.760564,55.669351,130.164010214575,209.859514036185,215.020629868834
"676",676,"Государственное бюджетное образовательное учреждение города Москвы средняя общеобразовательная школа № 1987","109559, г. Москва, ул. Белореченская, д. 36, корп. 1, 2","Юго-Восточный административный округ","район Марьино","Государственное","Юго-Восточное окружное управление образования","Общеобразовательное учреждение","Средняя общеобразовательная школа","346-77-13","schuv1987.mskobr.ru","school1987ru@gmail.com",447,447,37.77571,55.659744,174.702547817606,214.762496278098,257.517693206736
"677",677,"Государственное бюджетное образовательное учреждение города Москвы средняя общеобразовательная школа № 1987","109559, г. Москва, ул. Белореченская, д. 36, корп. 1, 2","Юго-Восточный административный округ","район Марьино","Государственное","Юго-Восточное окружное управление образования","Общеобразовательное учреждение","Средняя общеобразовательная школа","346-77-13","schuv1987.mskobr.ru","school1987ru@gmail.com",447,447,37.776277,55.660571,187.135390810622,227.538124836429,256.364701062145
"678",678,"Государственное бюджетное образовательное учреждение города Москвы средняя общеобразовательная школа № 199","117036 г. Москва, ул. Дм. Ульянова, д. 15, корп.1","Юго-Западный административный округ","Академический район","Государственное","Юго-Западное окружное управление образования","Общеобразовательное учреждение","Средняя общеобразовательная школа","126-09-80","http://schg199.mskobr.ru","sch199@mail.ru",448,448,37.565868,55.692333,356.0530291481,445.655688451263,466.074689626711
"679",679,"Государственное бюджетное образовательное учреждение города Москвы средняя общеобразовательная школа № 199","117036 г. Москва, ул. Дм. Ульянова, д. 15, корп.1","Юго-Западный административный округ","Академический район","Государственное","Юго-Западное окружное управление образования","Общеобразовательное учреждение","Средняя общеобразовательная школа","126-09-80","http://schg199.mskobr.ru","sch199@mail.ru",448,448,37.571564,55.690156,357.261916196842,414.167441170763,432.45025331595
"680",680,"Государственное бюджетное образовательное учреждение города Москвы средняя общеобразовательная школа № 1994","117042, г. Москва, Аллея Витте, дом 2, корп. 1","Юго-Западный административный округ","район Южное Бутово","Государственное","Юго-Западное окружное управление образования","Общеобразовательное учреждение","Средняя общеобразовательная школа","717-90-45","http://schuz1994.mskobr.ru","sch1994@mail.ru",449,449,37.537547,55.550257,180.85827197249,280.979244991151,332.193336126762
"681",681,"Государственное бюджетное образовательное учреждение города Москвы средняя общеобразовательная школа № 1995","117198, г.Москва, улица Саморы Машела, дом 6, корпус 3","Юго-Западный административный округ","Обручевский район","Государственное","Юго-Западное окружное управление образования","Общеобразовательное учреждение","Средняя общеобразовательная школа","438-95-68","schuz1995.mskobr.ru","school-1995@mail.ru",450,450,37.49828,55.64618,237.311063194417,262.31239527469,264.853498819491
"682",682,"Государственное бюджетное образовательное учреждение города Москвы средняя общеобразовательная школа № 1996","109649, г. Москва, Капотня, 5 Квартал, д. 28","Юго-Восточный административный округ","район Капотня","Государственное","Юго-Восточное окружное управление образования","Общеобразовательное учреждение","Средняя общеобразовательная школа","(495) 355-65-29; (495) 355-35-38; (495) 355-34-92; (495) 355-37-29","schuv1996.mskobr.ru","school1996@rambler.ru",451,451,37.796868,55.631656,182.77168745158,266.364195299444,303.400775325337
"683",683,"Государственное бюджетное образовательное учреждение города Москвы средняя общеобразовательная школа № 20","117437, г.Москва, ул. Академика Арцимовича, дом 7","Юго-Западный административный округ","район Коньково","Государственное","Юго-Западное окружное управление образования","Общеобразовательное учреждение","Средняя общеобразовательная школа","336-00-11","","sch20@mosuzedu.ru",452,452,37.515137,55.64235,268.904584103996,325.32465961241,337.676065859781
"684",684,"Государственное бюджетное образовательное учреждение города Москвы средняя общеобразовательная школа № 200","117574, г. Москва, ул. Голубинская, дом 21, корпус 3","Юго-Западный административный округ","район Ясенево","Государственное","Юго-Западное окружное управление образования","Общеобразовательное учреждение","Средняя общеобразовательная школа","421-93-50","http://schuz200.mskobr.ru","school_200@mail.ru",453,453,37.524368,55.601468,121.595081132645,230.625599737707,290.565360275494
"685",685,"Государственное бюджетное образовательное учреждение города Москвы средняя общеобразовательная школа № 200","117574, г. Москва, ул. Голубинская, дом 21, корпус 3","Юго-Западный административный округ","район Ясенево","Государственное","Юго-Западное окружное управление образования","Общеобразовательное учреждение","Средняя общеобразовательная школа","421-93-50","http://schuz200.mskobr.ru","school_200@mail.ru",453,453,37.526944,55.601647,206.778832500768,221.625920626198,360.976998398797
