"OBJECTID";"name";"adress";"okrug";"rayon";"form_of_incorporation";"submission";"tip_uchrezhdeniya";"vid_uchrezhdeniya";"telephone";"web_site";"e_mail";"ID";"ORIG_FID";"POINT_X";"POINT_Y"
75;"Государственное бюджетное образовательное учреждение города Москвы гимназия № 1512";"111538, г. Москва, ул. Косинская, д.24А";"Восточный административный округ";"район Вешняки";"Государственное";"Восточное окружное управление образования";"Общеобразовательное учреждение";"Гимназия";"374-77-44";"gymv1512.mskobr.ru/";"gym 1512@mail.ru";58;58;37,830356;55,718465
76;"Государственное бюджетное образовательное учреждение города Москвы гимназия № 1513 ""Московская городская лингвистическая гимназия""";"121099 г. Москва, Новинский б-р, д.3, стр.2";"Центральный административный округ";"район Арбат";"Государственное";"Центральное окружное управление образования";"Общеобразовательное учреждение";"Гимназия";"(499) 254-08-29";"gymc1513.mskobr.ru";"bubman13@yandex.ru";59;59;37,580993;55,751274
77;"Государственное бюджетное образовательное учреждение города Москвы гимназия № 1514";"119311, г.Москва, ул.Крупской, д.12";"Юго-Западный административный округ";"Ломоносовский район";"Государственное";"Юго-Западное окружное управление образования";"Общеобразовательное учреждение";"Гимназия";"131-80-38";"http://gumuz1514.mskobr.ru/";"gum52@yandex.ru";60;60;37,526833;55,685077
78;"Государственное бюджетное образовательное учреждение города Москвы гимназия № 1515";"123154, г. Москва, ул. Народного Ополчения, д. 27, корп. 2";"Северо-Западный административный округ";"район Хорошёво-Мнёвники";"Государственное";"Северо-Западное окружное управление образования";"Общеобразовательное учреждение";"Гимназия";"(499) 197-44-52";"gym1515.mskobr.ru";"gym1515@szouo.ru";61;61;37,474327;55,778721
79;"Государственное бюджетное образовательное учреждение города Москвы гимназия № 1515";"123154, г. Москва, ул. Народного Ополчения, д. 27, корп. 2";"Северо-Западный административный округ";"район Хорошёво-Мнёвники";"Государственное";"Северо-Западное окружное управление образования";"Общеобразовательное учреждение";"Гимназия";"(499) 197-44-52";"gym1515.mskobr.ru";"gym1515@szouo.ru";61;61;37,477321;55,780555
80;"Государственное бюджетное образовательное учреждение города Москвы гимназия № 1517";"123103, г. Москва, ул. Живописная, д. 11, корп. 1";"Северо-Западный административный округ";"район Хорошёво-Мнёвники";"Государственное";"Северо-Западное окружное управление образования";"Общеобразовательное учреждение";"Гимназия";"(499) 720-25-67";"gymsz1517.mskobr.ru";"gym1517@szouo.ru";62;62;37,451556;55,783956
81;"Государственное бюджетное образовательное учреждение города Москвы гимназия № 1517";"123103, г. Москва, ул. Живописная, д. 11, корп. 1";"Северо-Западный административный округ";"район Хорошёво-Мнёвники";"Государственное";"Северо-Западное окружное управление образования";"Общеобразовательное учреждение";"Гимназия";"(499) 720-25-67";"gymsz1517.mskobr.ru";"gym1517@szouo.ru";62;62;37,451711;55,785034
82;"Государственное бюджетное образовательное учреждение города Москвы гимназия № 1517";"123103, г. Москва, ул. Живописная, д. 11, корп. 1";"Северо-Западный административный округ";"район Хорошёво-Мнёвники";"Государственное";"Северо-Западное окружное управление образования";"Общеобразовательное учреждение";"Гимназия";"(499) 720-25-67";"gymsz1517.mskobr.ru";"gym1517@szouo.ru";62;62;37,451917;55,786387
83;"Государственное бюджетное образовательное учреждение города Москвы гимназия № 1517";"123103, г. Москва, ул. Живописная, д. 11, корп. 1";"Северо-Западный административный округ";"район Хорошёво-Мнёвники";"Государственное";"Северо-Западное окружное управление образования";"Общеобразовательное учреждение";"Гимназия";"(499) 720-25-67";"gymsz1517.mskobr.ru";"gym1517@szouo.ru";62;62;37,453195;55,785184
84;"Государственное бюджетное образовательное учреждение города Москвы гимназия № 1517";"123103, г. Москва, ул. Живописная, д. 11, корп. 1";"Северо-Западный административный округ";"район Хорошёво-Мнёвники";"Государственное";"Северо-Западное окружное управление образования";"Общеобразовательное учреждение";"Гимназия";"(499) 720-25-67";"gymsz1517.mskobr.ru";"gym1517@szouo.ru";62;62;37,457267;55,780484
85;"Государственное бюджетное образовательное учреждение города Москвы гимназия № 1517";"123103, г. Москва, ул. Живописная, д. 11, корп. 1";"Северо-Западный административный округ";"район Хорошёво-Мнёвники";"Государственное";"Северо-Западное окружное управление образования";"Общеобразовательное учреждение";"Гимназия";"(499) 720-25-67";"gymsz1517.mskobr.ru";"gym1517@szouo.ru";62;62;37,457623;55,785694
86;"Государственное бюджетное образовательное учреждение города Москвы гимназия № 1517";"123103, г. Москва, ул. Живописная, д. 11, корп. 1";"Северо-Западный административный округ";"район Хорошёво-Мнёвники";"Государственное";"Северо-Западное окружное управление образования";"Общеобразовательное учреждение";"Гимназия";"(499) 720-25-67";"gymsz1517.mskobr.ru";"gym1517@szouo.ru";62;62;37,458346;55,779906
87;"Государственное бюджетное образовательное учреждение города Москвы гимназия № 1517";"123103, г. Москва, ул. Живописная, д. 11, корп. 1";"Северо-Западный административный округ";"район Хорошёво-Мнёвники";"Государственное";"Северо-Западное окружное управление образования";"Общеобразовательное учреждение";"Гимназия";"(499) 720-25-67";"gymsz1517.mskobr.ru";"gym1517@szouo.ru";62;62;37,459303;55,783048
88;"Государственное бюджетное образовательное учреждение города Москвы гимназия № 1517";"123103, г. Москва, ул. Живописная, д. 11, корп. 1";"Северо-Западный административный округ";"район Хорошёво-Мнёвники";"Государственное";"Северо-Западное окружное управление образования";"Общеобразовательное учреждение";"Гимназия";"(499) 720-25-67";"gymsz1517.mskobr.ru";"gym1517@szouo.ru";62;62;37,463004;55,775150
89;"Государственное бюджетное образовательное учреждение города Москвы гимназия № 1519";"123181, г. Москва, ул. Маршала Катукова, д. 21, корп. 2";"Северо-Западный административный округ";"район Строгино";"Государственное";"Северо-Западное окружное управление образования";"Общеобразовательное учреждение";"Гимназия";"(495) 757-37-15; (495) 757-37-16; (495) 757-37-17; (495) 757-37-18; (495) 757-91-84; (495) 750-99-90";"ds1519.mskobr.ru";"gym1519@szouo.ru";63;63;37,401533;55,806740
90;"Государственное бюджетное образовательное учреждение города Москвы гимназия № 1519";"123181, г. Москва, ул. Маршала Катукова, д. 21, корп. 2";"Северо-Западный административный округ";"район Строгино";"Государственное";"Северо-Западное окружное управление образования";"Общеобразовательное учреждение";"Гимназия";"(495) 757-37-15; (495) 757-37-16; (495) 757-37-17; (495) 757-37-18; (495) 757-91-84; (495) 750-99-90";"ds1519.mskobr.ru";"gym1519@szouo.ru";63;63;37,407942;55,809780
91;"Государственное бюджетное образовательное учреждение города Москвы гимназия № 1519";"123181, г. Москва, ул. Маршала Катукова, д. 21, корп. 2";"Северо-Западный административный округ";"район Строгино";"Государственное";"Северо-Западное окружное управление образования";"Общеобразовательное учреждение";"Гимназия";"(495) 757-37-15; (495) 757-37-16; (495) 757-37-17; (495) 757-37-18; (495) 757-91-84; (495) 750-99-90";"ds1519.mskobr.ru";"gym1519@szouo.ru";63;63;37,408695;55,811139
92;"Государственное бюджетное образовательное учреждение города Москвы гимназия № 1519";"123181, г. Москва, ул. Маршала Катукова, д. 21, корп. 2";"Северо-Западный административный округ";"район Строгино";"Государственное";"Северо-Западное окружное управление образования";"Общеобразовательное учреждение";"Гимназия";"(495) 757-37-15; (495) 757-37-16; (495) 757-37-17; (495) 757-37-18; (495) 757-91-84; (495) 750-99-90";"ds1519.mskobr.ru";"gym1519@szouo.ru";63;63;37,410689;55,809379
93;"Государственное бюджетное образовательное учреждение города Москвы гимназия № 1519";"123181, г. Москва, ул. Маршала Катукова, д. 21, корп. 2";"Северо-Западный административный округ";"район Строгино";"Государственное";"Северо-Западное окружное управление образования";"Общеобразовательное учреждение";"Гимназия";"(495) 757-37-15; (495) 757-37-16; (495) 757-37-17; (495) 757-37-18; (495) 757-91-84; (495) 750-99-90";"ds1519.mskobr.ru";"gym1519@szouo.ru";63;63;37,412406;55,807634
94;"Государственное бюджетное образовательное учреждение города Москвы гимназия № 1519";"123181, г. Москва, ул. Маршала Катукова, д. 21, корп. 2";"Северо-Западный административный округ";"район Строгино";"Государственное";"Северо-Западное окружное управление образования";"Общеобразовательное учреждение";"Гимназия";"(495) 757-37-15; (495) 757-37-16; (495) 757-37-17; (495) 757-37-18; (495) 757-91-84; (495) 750-99-90";"ds1519.mskobr.ru";"gym1519@szouo.ru";63;63;37,414061;55,808603
95;"Государственное бюджетное образовательное учреждение города Москвы Гимназия № 1520 имени Капцовых";"125009 г.Москва, Леонтьевский пер., д.19/2, стр.1";"Центральный административный округ";"Пресненский район";"Государственное";"Центральное окружное управление образования";"Общеобразовательное учреждение";"Гимназия";"(495) 629-60-71; (495) 629-08-78; (495) 629-01-18; (495) 629-06-98; (495) 629-42-31; (495) 629-50-22; (495) 629-38-77";"gymc1520.mskobr.ru";"1520gym@bk.ru";64;64;37,604886;55,760892
96;"Государственное бюджетное образовательное учреждение города Москвы гимназия № 1521";"119034, г. Москва, ул. Пречистенка, д. 12/2, стр. 8";"Центральный административный округ";"район Хамовники";"Государственное";"Центральное окружное управление образования";"Общеобразовательное учреждение";"Гимназия";"(499) 766-93-31";"gymc1521.mskobr.ru";"direktor1768@mail.ru";65;65;37,580536;55,741919
97;"Государственное бюджетное образовательное учреждение города Москвы гимназия № 1521";"119034, г. Москва, ул. Пречистенка, д. 12/2, стр. 8";"Центральный административный округ";"район Хамовники";"Государственное";"Центральное окружное управление образования";"Общеобразовательное учреждение";"Гимназия";"(499) 766-93-31";"gymc1521.mskobr.ru";"direktor1768@mail.ru";65;65;37,597756;55,744062
98;"Государственное бюджетное образовательное учреждение города Москвы гимназия № 1522";"123423, г. Москва, ул. Народного Ополчения, д. 16, корп. 4";"Северо-Западный административный округ";"район Хорошёво-Мнёвники";"Государственное";"Северо-Западное окружное управление образования";"Общеобразовательное учреждение";"Гимназия";"(499) 191-25-94; (499) 191-65-04; (499) 946-24-31; (499) 191-93-89";"g1522.mskobr.ru";"gym1522@szouo.ru";66;66;37,482165;55,772831
99;"Государственное бюджетное образовательное учреждение города Москвы Гимназия № 1526";"117535 г. Москва, ул. Дорожная д. 20А";"Южный административный округ";"район Чертаново Южное";"Государственное";"Южное окружное управление образования";"Общеобразовательное учреждение";"Гимназия";"382-04-65";"gymu1526.mskobr.ru";"sch1526@sinergi.ru";67;67;37,620987;55,602584
100;"Государственное бюджетное образовательное учреждение города Москвы Гимназия № 1527";"115470 г. Москва, проспект Андропова,д.17,к.5";"Южный административный округ";"район Нагатинский Затон";"Государственное";"Южное окружное управление образования";"Общеобразовательное учреждение";"Гимназия";"(499) 618-70-05; (499) 618-80-96; (499) 725-16-42; (499) 618-70-40; (499) 618-70-30; (499) 618-70-51";"gym1527u.mskobr.ru";"sch1527@sinergi.ru";68;68;37,668217;55,681802
101;"Государственное бюджетное образовательное учреждение города Москвы Гимназия № 1527";"115470 г. Москва, проспект Андропова,д.17,к.5";"Южный административный округ";"район Нагатинский Затон";"Государственное";"Южное окружное управление образования";"Общеобразовательное учреждение";"Гимназия";"(499) 618-70-05; (499) 618-80-96; (499) 725-16-42; (499) 618-70-40; (499) 618-70-30; (499) 618-70-51";"gym1527u.mskobr.ru";"sch1527@sinergi.ru";68;68;37,668219;55,681931
102;"Государственное бюджетное образовательное учреждение города Москвы гимназия № 1528";"124527, г. Москва, Зеленоград, корп. 817";"Зеленоградский административный округ";"район Старое Крюково";"Государственное";"Зеленоградское окружное управление образования";"Общеобразовательное учреждение";"Гимназия";"(499) 710-33-02; (499) 710-47-20";"http://gymzg1528.mskobr.ru";"s1528@zou.ru";69;69;37,178956;55,995564
103;"Государственное бюджетное образовательное учреждение города Москвы гимназия № 1528";"124527, г. Москва, Зеленоград, корп. 817";"Зеленоградский административный округ";"район Старое Крюково";"Государственное";"Зеленоградское окружное управление образования";"Общеобразовательное учреждение";"Гимназия";"(499) 710-33-02; (499) 710-47-20";"http://gymzg1528.mskobr.ru";"s1528@zou.ru";69;69;37,182054;55,980081
104;"Государственное бюджетное образовательное учреждение города Москвы гимназия № 1528";"124527, г. Москва, Зеленоград, корп. 817";"Зеленоградский административный округ";"район Старое Крюково";"Государственное";"Зеленоградское окружное управление образования";"Общеобразовательное учреждение";"Гимназия";"(499) 710-33-02; (499) 710-47-20";"http://gymzg1528.mskobr.ru";"s1528@zou.ru";69;69;37,190778;55,976398
105;"Государственное бюджетное образовательное учреждение города Москвы Гимназия № 1529 имени А.С.Грибоедова";"119034 г.Москва, 2-ой Обыденский пер, д.9";"Центральный административный округ";"район Хамовники";"Государственное";"Центральное окружное управление образования";"Общеобразовательное учреждение";"Гимназия";"(499) 766-98-42";"gymc1529.mskobr.ru";"info@sch1529.ru";70;70;37,603496;55,741492
106;"Государственное бюджетное образовательное учреждение города Москвы гимназия № 1530 ""Школа Ломоносова""";"107014, Москва, ул. Егерская, д. 4";"Восточный административный округ";"район Сокольники";"Государственное";"Восточное окружное управление образования";"Общеобразовательное учреждение";"Гимназия";"603-09-62";"gymv1530.mskobr.ru";"gym1530@yandex.ru";71;71;37,683637;55,788006
107;"Государственное бюджетное образовательное учреждение города Москвы гимназия № 1530 ""Школа Ломоносова""";"107014, Москва, ул. Егерская, д. 4";"Восточный административный округ";"район Сокольники";"Государственное";"Восточное окружное управление образования";"Общеобразовательное учреждение";"Гимназия";"603-09-62";"gymv1530.mskobr.ru";"gym1530@yandex.ru";71;71;37,684761;55,793388
108;"Государственное бюджетное образовательное учреждение города Москвы гимназия № 1531 ""Лингвистическая""";"129085, г. Москва, ул. Годовикова, д.4, стр.3";"Северо-Восточный административный округ";"Останкинский район";"Государственное";"Северо-Восточное окружное управление образования";"Общеобразовательное учреждение";"Гимназия";"(495) 687-01-07";"gym1531sv.mskobr.ru";"Sch1531edu@yandex.ru";72;72;37,631801;55,803952
109;"Государственное бюджетное образовательное учреждение города Москвы гимназия № 1531 ""Лингвистическая""";"129085, г. Москва, ул. Годовикова, д.4, стр.3";"Северо-Восточный административный округ";"Останкинский район";"Государственное";"Северо-Восточное окружное управление образования";"Общеобразовательное учреждение";"Гимназия";"(495) 687-01-07";"gym1531sv.mskobr.ru";"Sch1531edu@yandex.ru";72;72;37,632215;55,803672
110;"Государственное бюджетное образовательное учреждение города Москвы гимназия № 1531 ""Лингвистическая""";"129085, г. Москва, ул. Годовикова, д.4, стр.3";"Северо-Восточный административный округ";"Останкинский район";"Государственное";"Северо-Восточное окружное управление образования";"Общеобразовательное учреждение";"Гимназия";"(495) 687-01-07";"gym1531sv.mskobr.ru";"Sch1531edu@yandex.ru";72;72;37,632907;55,803713
111;"Государственное бюджетное образовательное учреждение города Москвы гимназия № 1531 ""Лингвистическая""";"129085, г. Москва, ул. Годовикова, д.4, стр.3";"Северо-Восточный административный округ";"Останкинский район";"Государственное";"Северо-Восточное окружное управление образования";"Общеобразовательное учреждение";"Гимназия";"(495) 687-01-07";"gym1531sv.mskobr.ru";"Sch1531edu@yandex.ru";72;72;37,633271;55,803998
112;"Государственное бюджетное образовательное учреждение города Москвы гимназия № 1532";"117465, г. Москва, ул. Теплый Стан, дом 13, корпус 3";"Юго-Западный административный округ";"район Тёплый Стан";"Государственное";"Юго-Западное окружное управление образования";"Общеобразовательное учреждение";"Гимназия";"338-76-55";"";"";73;73;37,491549;55,622449
113;"Государственное бюджетное образовательное учреждение города Москвы гимназия № 1534";"117036, г.Москва, ул.Кедрова, д.11";"Юго-Западный административный округ";"Академический район";"Государственное";"Юго-Западное окружное управление образования";"Общеобразовательное учреждение";"Гимназия";"125-59-82";"http://gumuz1534.mskobr.ru/";"gym1534@mail.ru";74;74;37,574192;55,684899
114;"Государственное бюджетное образовательное учреждение города Москвы гимназия № 1536";"119261, г.Москва, Ленинский проспект, дом 83 А";"Юго-Западный административный округ";"Ломоносовский район";"Государственное";"Юго-Западное окружное управление образования";"Общеобразовательное учреждение";"Гимназия";"134-34-12";"";"gimn1536@mosuzedu.ru";75;75;37,539295;55,680074
115;"Государственное бюджетное образовательное учреждение города Москвы гимназия № 1538";"125464, г. Москва, здание 1:Новотушинский проезд, д. 8, корп. 2;";"Северо-Западный административный округ";"район Митино";"Государственное";"Северо-Западное окружное управление образования";"Общеобразовательное учреждение";"Гимназия";"751-14-91";"gym1538.mskobr.ru/";"gym1538@szouo.ru";76;76;37,382309;55,839297
116;"Государственное бюджетное образовательное учреждение города Москвы гимназия № 1538";"125464, г. Москва, здание 1:Новотушинский проезд, д. 8, корп. 2;";"Северо-Западный административный округ";"район Митино";"Государственное";"Северо-Западное окружное управление образования";"Общеобразовательное учреждение";"Гимназия";"751-14-91";"gym1538.mskobr.ru/";"gym1538@szouo.ru";76;76;37,388657;55,841565
117;"Государственное бюджетное образовательное учреждение города Москвы Гимназия № 1540";"103055 г. Москва, Новослободская ул., д.57, стр.1";"Центральный административный округ";"Тверской район";"Государственное";"Центральное окружное управление образования";"Общеобразовательное учреждение";"Гимназия";"(499) 978-35-84";"gymc1540.mskobr.ru";"school@msk.ort.ru";77;77;37,592162;55,786896
118;"Государственное бюджетное образовательное учреждение города Москвы гимназия № 1541";"119415 г. Москва, пр. Вернадского, д. 55";"Западный административный округ";"район Проспект Вернадского";"Государственное";"Западное окружное управление образования";"Общеобразовательное учреждение";"Гимназия";"431-46-76";"http:/gym1541.mskzapad.ru/";"gym1541@mail.ru";78;78;37,505496;55,673368
119;"Государственное бюджетное образовательное учреждение города Москвы гимназия № 1542";"119620, г. Москва, ул. Авиаторов, дом 8, корпус 2";"Западный административный округ";"район Солнцево";"Государственное";"Западное окружное управление образования";"Общеобразовательное учреждение";"Гимназия";"934-87-32";"gym1542.mskzapad.ru/";"1542@inbox.ru";79;79;37,399572;55,646767
120;"Государственное бюджетное образовательное учреждение города Москвы гимназия № 1544";"125222, г. Москва, ул. Пенягинская, д. 14";"Северо-Западный административный округ";"район Митино";"Государственное";"Северо-Западное окружное управление образования";"Общеобразовательное учреждение";"Гимназия";"(495) 752-61-11; (495) 753-19-03; (495) 794-35-11";"gymsz1544.mskobr.ru";"gym1544@szouo.ru";80;80;37,359410;55,836253
121;"Государственное бюджетное образовательное учреждение города Москвы гимназия № 1551";"125364, г. Москва, ул. Свободы, д. 42, корп. 2";"Северо-Западный административный округ";"район Южное Тушино";"Государственное";"Северо-Западное окружное управление образования";"Общеобразовательное учреждение";"Гимназия";"492-95-75";"gym1551.mskobr.ru";"gym1551@szouo.ru";81;81;37,449226;55,845371
122;"Государственное бюджетное образовательное учреждение города Москвы гимназия № 1551";"125364, г. Москва, ул. Свободы, д. 42, корп. 2";"Северо-Западный административный округ";"район Южное Тушино";"Государственное";"Северо-Западное окружное управление образования";"Общеобразовательное учреждение";"Гимназия";"492-95-75";"gym1551.mskobr.ru";"gym1551@szouo.ru";81;81;37,449794;55,848660
123;"Государственное бюджетное образовательное учреждение города Москвы гимназия № 1551";"125364, г. Москва, ул. Свободы, д. 42, корп. 2";"Северо-Западный административный округ";"район Южное Тушино";"Государственное";"Северо-Западное окружное управление образования";"Общеобразовательное учреждение";"Гимназия";"492-95-75";"gym1551.mskobr.ru";"gym1551@szouo.ru";81;81;37,450594;55,846009
124;"Государственное бюджетное образовательное учреждение города Москвы гимназия № 1551";"125364, г. Москва, ул. Свободы, д. 42, корп. 2";"Северо-Западный административный округ";"район Южное Тушино";"Государственное";"Северо-Западное окружное управление образования";"Общеобразовательное учреждение";"Гимназия";"492-95-75";"gym1551.mskobr.ru";"gym1551@szouo.ru";81;81;37,452052;55,848961
125;"Государственное бюджетное образовательное учреждение города Москвы гимназия № 1551";"125364, г. Москва, ул. Свободы, д. 42, корп. 2";"Северо-Западный административный округ";"район Южное Тушино";"Государственное";"Северо-Западное окружное управление образования";"Общеобразовательное учреждение";"Гимназия";"492-95-75";"gym1551.mskobr.ru";"gym1551@szouo.ru";81;81;37,456187;55,846654
126;"Государственное бюджетное образовательное учреждение города Москвы гимназия № 1551";"125364, г. Москва, ул. Свободы, д. 42, корп. 2";"Северо-Западный административный округ";"район Южное Тушино";"Государственное";"Северо-Западное окружное управление образования";"Общеобразовательное учреждение";"Гимназия";"492-95-75";"gym1551.mskobr.ru";"gym1551@szouo.ru";81;81;37,456495;55,847785
127;"Государственное бюджетное образовательное учреждение города Москвы гимназия № 1551";"125364, г. Москва, ул. Свободы, д. 42, корп. 2";"Северо-Западный административный округ";"район Южное Тушино";"Государственное";"Северо-Западное окружное управление образования";"Общеобразовательное учреждение";"Гимназия";"492-95-75";"gym1551.mskobr.ru";"gym1551@szouo.ru";81;81;37,457523;55,845150
128;"Государственное бюджетное образовательное учреждение города Москвы гимназия № 1552";"115580 г. Москва, ул. М.Джалиля, д. 25";"Южный административный округ";"район Зябликово";"Государственное";"Южное окружное управление образования";"Общеобразовательное учреждение";"Гимназия";"396-32-19";"gymu1552.mskobr.ru";"sch1552@sinergi.ru";82;82;37,746598;55,619719
129;"Государственное бюджетное образовательное учреждение города Москвы Гимназия № 1558 имени Росалии де Кастро";"129327,  Москва, Чукотский проезд, д. 6";"Северо-Восточный административный округ";"Бабушкинский район";"Государственное";"Северо-Восточное окружное управление образования";"Общеобразовательное учреждение";"Гимназия";"471-23-54";"gymsv1558.mskobr.ru/";"colrosaliacastro@mail.ru";83;83;37,654054;55,868199
130;"Государственное бюджетное образовательное учреждение города Москвы Гимназия № 1558 имени Росалии де Кастро";"129327,  Москва, Чукотский проезд, д. 6";"Северо-Восточный административный округ";"Бабушкинский район";"Государственное";"Северо-Восточное окружное управление образования";"Общеобразовательное учреждение";"Гимназия";"471-23-54";"gymsv1558.mskobr.ru/";"colrosaliacastro@mail.ru";83;83;37,655920;55,868529
131;"Государственное бюджетное образовательное учреждение города Москвы гимназия № 1562 имени Артема Боровика";"109341, г.Москва, ул. Братиславская, дом 4";"Юго-Восточный административный округ";"район Марьино";"Государственное";"Юго-Восточное окружное управление образования";"Общеобразовательное учреждение";"Гимназия";"349-00-11";"gymuv1562.mskobr.ru";"gimn1562@uvuo.ru";84;84;37,750711;55,662993
132;"Государственное бюджетное образовательное учреждение города Москвы гимназия № 1562 имени Артема Боровика";"109341, г.Москва, ул. Братиславская, дом 4";"Юго-Восточный административный округ";"район Марьино";"Государственное";"Юго-Восточное окружное управление образования";"Общеобразовательное учреждение";"Гимназия";"349-00-11";"gymuv1562.mskobr.ru";"gimn1562@uvuo.ru";84;84;37,751241;55,665443
133;"Государственное бюджетное образовательное учреждение города Москвы гимназия № 1565 ""Свиблово""";"129323, г. Москва, ул. Седова, д. 4, корп. 1";"Северо-Восточный административный округ";"район Свиблово";"Государственное";"Северо-Восточное окружное управление образования";"Общеобразовательное учреждение";"Гимназия";"(499) 656-60-81";"gum1565sv.mskobr.ru/";"edu1565@mail.ru";85;85;37,642182;55,852872
134;"Государственное бюджетное образовательное учреждение города Москвы гимназия № 1566";"109652, г. Москва, Мячковский бульвар, дом 14, к. 3";"Юго-Восточный административный округ";"район Марьино";"Государственное";"Юго-Восточное окружное управление образования";"Общеобразовательное учреждение";"Гимназия";"(499) 784-88-69";"gymuv1566.mskobr.ru/";"gymnasium_1566@mail.ru";86;86;37,754603;55,651170
135;"Государственное бюджетное образовательное учреждение города Москвы гимназия № 1567";"121170 г.Москва, Кутузовский проезд, д.10, стр.1";"Западный административный округ";"район Дорогомилово";"Государственное";"Западное окружное управление образования";"Общеобразовательное учреждение";"Гимназия";"(499) 148-15-32";"";"gimn1567@mail.ru";87;87;37,523368;55,741435
136;"Государственное бюджетное образовательное учреждение города Москвы гимназия № 1569 ""Созвездие""";"115573 г. Москва, ул. Мусы Джалиля, д.36,к.2";"Южный административный округ";"район Зябликово";"Государственное";"Южное окружное управление образования";"Общеобразовательное учреждение";"Гимназия";"(495) 396-43-50";"gymu1569.mskobr.ru";"sch1569@sinergi.ru";88;88;37,738816;55,617254
137;"Государственное бюджетное образовательное учреждение города Москвы гимназия № 1569 ""Созвездие""";"115573 г. Москва, ул. Мусы Джалиля, д.36,к.2";"Южный административный округ";"район Зябликово";"Государственное";"Южное окружное управление образования";"Общеобразовательное учреждение";"Гимназия";"(495) 396-43-50";"gymu1569.mskobr.ru";"sch1569@sinergi.ru";88;88;37,747851;55,623705
138;"Государственное бюджетное образовательное учреждение города Москвы гимназия № 1570";"125040, г. Москва, 5-я улица Ямского поля, д. 28/32";"Северный административный округ";"район Беговой";"Государственное";"Северное окружное управление образования";"Общеобразовательное учреждение";"Гимназия";"612-71-81";"gyms1570.mskobr.ru";"gimnasia1570@yandex.ru";89;89;37,577030;55,789295
139;"Государственное бюджетное образовательное учреждение города Москвы гимназия № 1572";"127018, г.Москва, Октябрьский пер., д.11";"Северо-Восточный административный округ";"район Марьина Роща";"Государственное";"Северо-Восточное окружное управление образования";"Общеобразовательное учреждение";"Гимназия";"681-67-58";"gum1572sv.mskobr.ru/";"gimnaz1572@mail.ru";90;90;37,610008;55,786661
140;"Государственное бюджетное образовательное учреждение города Москвы гимназия № 1573";"127253, г. Москва, ул. Псковская, д.11";"Северо-Восточный административный округ";"район Лианозово";"Государственное";"Северо-Восточное окружное управление образования";"Общеобразовательное учреждение";"Гимназия";"(499) 501-13-27";"http://gum1573.svao.mskobr.ru/";"Gym1573@yandex.ru";91;91;37,552777;55,906675
141;"Государственное бюджетное образовательное учреждение города Москвы гимназия № 1576";"125299, г. Москва, ул. Большая Академическая, д.22-А";"Северный административный округ";"район Коптево";"Государственное";"Северное окружное управление образования";"Общеобразовательное учреждение";"Гимназия";"450-77-07";"http://gyms1576.mskobr.ru";"school@ultranet.ru";92;92;37,529302;55,822928
142;"Государственное бюджетное образовательное учреждение города Москвы гимназия № 1577";"129337, г. Москва, Ярославское шоссе, дом ( владение) 8, корп. 6";"Северо-Восточный административный округ";"Ярославский район";"Государственное";"Северо-Восточное окружное управление образования";"Общеобразовательное учреждение";"Гимназия";"(499) 188-47-47";"gym1577sv.mskobr.ru/";"gym1577@yandex.ru";93;93;37,690459;55,852786
143;"Государственное бюджетное образовательное учреждение города Москвы Гимназия № 1579";"115409 г. Москва, Пролетарский пр-кт, д.7 к.3";"Южный административный округ";"район Москворечье-Сабурово";"Государственное";"Южное окружное управление образования";"Общеобразовательное учреждение";"Гимназия";"324-78-51";"gymu1579.mskobr.ru";"sch1579@sinergi.ru";94;94;37,659254;55,646582
144;"Государственное бюджетное образовательное учреждение города Москвы гимназия № 1582";"117587 г. Москва,ул. Кировоградская,д.18,к.4";"Южный административный округ";"район Чертаново Центральное";"Государственное";"Южное окружное управление образования";"Общеобразовательное учреждение";"Гимназия";"311-82-72";"gymu1582.mskobr.ru";"sch1582@sinergi.ru";95;95;37,597088;55,619924
