"OBJECTID";"ID";"NAME";"NUMB";"WEBSITE";"TYPE";"OKRUG";"FOUNDATION";"SCHOOLS_COUNT"
186;57;"Государственное бюджетное образовательное учреждение города Москвы средняя общеобразовательная школа №1155";1155;"http://sch1155sz.mskobr.ru/";"школа";"Северо-Западный административный округ";"присоединение";1
187;359;"Государственное бюджетное образовательное учреждение города Москвы лицей №1158";1158;"http://sch1158.mskobr.ru/";"лицей";"Южный административный округ";"присоединение";4
188;186;"Государственное бюджетное образовательное учреждение города Москвы средняя общеобразовательная школа №1159";1159;"http://sch1159s.mskobr.ru/";"школа";"Северный административный округ";"слияние";2
189;816;"Государственное бюджетное образовательное учреждение города Москвы средняя общеобразовательная школа №1161";1161;"http://sch1161.mskobr.ru/";"школа
";"Юго-Западный административный округ";"слияние";2
190;875;"Государственное бюджетное образовательное учреждение города Москвы средняя общеобразовательная школа №1164";1164;"http://sch1164.mskobr.ru/";"школа";"Северный административный округ";"присоединение";2
191;537;"Государственное бюджетное образовательное учреждение города Москвы средняя общеобразовательная школа №117";117;"http://sch117.mskobr.ru/";"школа";"Юго-Западный административный округ";"присоединение";5
192;340;"Государственное бюджетное образовательное учреждение города Москвы средняя общеобразовательная школа №1173";1173;"http://sch1173.mskobr.ru/";"школа";"Южный административный округ";"присоединение";2
193;551;"Государственное бюджетное образовательное учреждение города Москвы средняя общеобразовательная школа №1174";1174;"http://sch1174uz.mskobr.ru/";"школа";"Юго-Западный административный округ";"присоединение";1
194;366;"Государственное бюджетное образовательное учреждение города Москвы средняя общеобразовательная школа №1179";1179;"http://sch1179u.mskobr.ru/";"школа";"Южный административный округ";"присоединение";1
195;563;"Государственное бюджетное образовательное учреждение города Москвы средняя общеобразовательная школа №118";118;"http://sch118uz.mskobr.ru/";"школа";"Юго-Западный административный округ";"слияние";3
196;118;"Государственное бюджетное образовательное учреждение города Москвы средняя общеобразовательная школа №1190";1190;"http://sch1190sz.mskobr.ru/";"школа";"Северо-Западный административный округ";"присоединение";1
197;126;"Государственное бюджетное образовательное учреждение города Москвы средняя общеобразовательная школа №1191";1191;"http://sch1191sz.mskobr.ru/";"школа";"Северо-Западный административный округ";"присоединение";3
198;797;"Государственное бюджетное образовательное учреждение города Москвы средняя общеобразовательная школа №1194";1194;"http://sch1194zg.mskobr.ru/";"школа";"Зеленоградский административный округ";"присоединение";2
199;762;"Государственное бюджетное образовательное учреждение города Москвы средняя общеобразовательная школа №1195";1195;"http://sch1195.mskobr.ru/";"школа";"Западный административный округ";"присоединение";3
200;746;"Государственное бюджетное образовательное учреждение города Москвы средняя общеобразовательная школа №12";12;"http://sch12.mskobr.ru/";"школа";"Западный административный округ";"присоединение";1
201;819;"Государственное бюджетное образовательное учреждение города Москвы школа с углубленным изучением английского языка №1200";1200;"http://sch1200.mskobr.ru/";"школа";"Восточный административный округ";"присоединение";2
202;599;"Государственное бюджетное образовательное учреждение города Москвы средняя общеобразовательная школа с углубленным изучением иностранных языков №1205";1205;"http://sch1205uz.mskobr.ru/";"школа";"Юго-Западный административный округ";"присоединение";4
203;586;"Государственное бюджетное образовательное учреждение города Москвы средняя общеобразовательная школа с углубленным изучением английского языка №1206";1206;"http://sch1206uz.mskobr.ru/";"школа";"Юго-Западный административный округ";"присоединение";4
204;346;"Государственное бюджетное образовательное учреждение города Москвы средняя общеобразовательная школа с углубленным изучением иностранного (английского) языка №1207";1207;"http://sch1207u.mskobr.ru/";"школа";"Южный административный округ";"присоединение";3
205;477;"Государственное бюджетное образовательное учреждение города Москвы средняя общеобразовательная школа с углубленным изучением английского языка №1208 имени Героя Советского Союза М.С. Шумилова";1208;"http://sch1208uv.mskobr.ru/";"школа";"Юго-Восточный административный округ";"слияние";3
206;133;"Государственное бюджетное образовательное учреждение города Москвы средняя общеобразовательная школа с углубленным изучением английского языка №1210";1210;"http://sch1210sz.mskobr.ru/";"школа";"Северо-Западный административный округ";"присоединение";2
207;597;"Государственное бюджетное образовательное учреждение города Москвы средняя общеобразовательная школа №1212";1212;"http://sch1212.mskobr.ru/";"школа";"Юго-Западный административный округ";"присоединение";4
208;103;"Государственное бюджетное образовательное учреждение города Москвы средняя общеобразовательная школа с углубленным изучением немецкого языка №1212";1212;"http://sch1212sz.mskobr.ru/";"школа";"Северо-Западный административный округ";"присоединение";2
209;167;"Государственное бюджетное образовательное учреждение города Москвы средняя общеобразовательная школа с углубленным изучением английского языка №1213";1213;"http://sch1213s.mskobr.ru/";"школа";"Северный административный округ";"присоединение";2
210;531;"Государственное бюджетное образовательное учреждение города Москвы средняя общеобразовательная школа №121 ";121;"http://sch121uz.mskobr.ru/";"школа";"Юго-Западный административный округ";"присоединение";1
211;824;"Государственное бюджетное образовательное учреждение города Москвы средняя общеобразовательная школа с углубленным изучением иностранных языков №1220";1220;"http://sch1220.mskobr.ru/";"школа";"Северо-Восточный административный округ";"присоединение";3
212;474;"Государственное бюджетное образовательное учреждение города Москвы средняя общеобразовательная школа с углубленным изучением немецкого языка №1222 ";1222;"http://sch1222uv.mskobr.ru/";"школа";"Юго-Восточный административный округ";"присоединение ";1
213;873;"Государственное бюджетное образовательное учреждение города Москвы средняя общеобразовательная школа №1223 «Лингвистический центр»";1223;"http://sch1223s.mskobr.ru/";"школа";"Северный административный округ";"присоединение";2
214;187;"Государственное бюджетное образовательное учреждение города Москвы средняя общеобразовательная школа с углубленным изучением английского языка №1224";1224;"http://sch1224s.mskobr.ru/";"школа";"Северный административный округ";"присоединение";3
215;842;"Государственное бюджетное образовательное учреждение города Москвы средняя общеобразовательная школа с углубленным изучением английского языка №1228";1228;"http://sch1228.mskobr.ru/";"школа";"Юго-Восточный административный округ";"присоединение";3
216;20;"Государственное бюджетное образовательное учреждение города Москвы средняя общеобразовательная школа с углубленным изучением иностранного языка №1231 имени В.Д. Поленова";1231;"http://sch1231.mskobr.ru/";"школа";"Центральный административный округ";"присоединение";6
217;754;"Государственное бюджетное образовательное учреждение города Москвы средняя общеобразовательная школа с углубленным изучением иностранного языка №1232";1232;"http://sch1232.mskobr.ru/";"школа";"Западный административный округ";"присоединение";2
218;39;"Государственное бюджетное образовательное учреждение города Москвы средняя общеобразовательная школа с углубленным изучением отдельных предметов №1234";1234;"http://sch1234c.mskobr.ru/";"школа";"Центральный административный округ";"слияние";5
219;257;"Государственное бюджетное образовательное учреждение города Москвы средняя общеобразовательная школа с углубленным изучением иностранного языка №1236";1236;"http://sch1236sv.mskobr.ru/";"школа";"Северо-Восточный административный округ";"присоединение";6
220;735;"Государственное бюджетное образовательное учреждение города Москвы средняя общеобразовательная школа с углубленным изучением английского языка №1238";1238;"http://sch1238.mskobr.ru/";"школа";"Западный административный округ";"присоединение";2
221;47;"Государственное бюджетное образовательное учреждение города Москвы средняя общеобразовательная школа с углубленным изучением иностранных языков №1240 «Мультипрофильный образовательный комплекс «Пресненский»";1240;"http://sch1240.mskobr.ru/";"школа";"Центральный административный округ";"слияние";3
222;49;"Государственное бюджетное образовательное учреждение города Москвы средняя общеобразовательная школа с углубленным изучением иностранного (английского) языка №1241";1241;"http://sch1241.mskobr.ru/";"школа";"Центральный административный округ";"присоединение";2
223;350;"Государственное бюджетное образовательное учреждение города Москвы средняя общеобразовательная школа с углубленным изучением иностранных языков №1242";1242;"http://sch1242u.mskobr.ru/";"школа";"Южный административный округ";"присоединение";2
224;347;"Государственное бюджетное образовательное учреждение города Москвы средняя общеобразовательная школа с углубленным изучением иностранного (английского) языка №1245";1245;"http://sch1245u.mskobr.ru/";"школа";"Южный административный округ";"присоединение";3
225;667;"Государственное бюджетное образовательное учреждение города Москвы средняя общеобразовательная школа с углублённым изучением английского языка №1246";1246;"http://sch1246v.mskobr.ru/";"школа";"Восточный административный округ";"присоединение";2
226;713;"Государственное бюджетное образовательное учреждение города Москвы средняя общеобразовательная школа с углубленным изучением отдельных предметов №1248";1248;"http://sch1248.mskobr.ru/";"школа";"Западный административный округ";"присоединение";3
227;195;"Государственное бюджетное образовательное учреждение города Москвы средняя общеобразовательная школа с углубленным изучением английского языка №1250 ";1250;"http://sch1250s.mskobr.ru/";"школа";"Северный административный округ";"присоединение";1
228;193;"Государственное бюджетное образовательное учреждение города Москвы средняя общеобразовательная школа с углубленным изучением французского языка №1251 имени генерала Шарля де Голля";1251;"http://sch1251s.mskobr.ru/";"школа";"Северный административный округ";"присоединение";3
229;166;"Государственное бюджетное образовательное учреждение города Москвы средняя общеобразовательная школа с углубленным изучением испанского языка №1252 имени Сервантеса";1252;"http://sch1252.mskobr.ru/";"школа";"Северный административный округ";"присоединение";1
230;26;"Государственное бюджетное образовательное учреждение города Москвы средняя общеобразовательная школа с углубленным изучением иностранного языка №1253";1253;"http://sch1253c.mskobr.ru/";"школа";"Центральный административный округ";"присоединение";2
231;458;"Государственное бюджетное образовательное учреждение города Москвы средняя общеобразовательная школа с углубленным изучением английского языка №1256 ";1256;"http://sch1256uv.mskobr.ru/";"школа";"Юго-Восточный административный округ";"присоединение";2
232;23;"Государственное бюджетное образовательное учреждение города Москвы средняя общеобразовательная школа с углубленным изучением иностранных языков №1259";1259;"http://sch1259.mskobr.ru/";"школа";"Центральный административный округ";"слияние";2
233;946;"Государственное бюджетное образовательное учреждение города Москвы средняя общеобразовательная школа с углубленным изучением французского языка №1265";1265;"http://sch1265uz.mskobr.ru/";"школа";"Юго-Западный административный округ";"присоединение";1
234;652;"Государственное бюджетное образовательное учреждение города Москвы средняя общеобразовательная школа с углубленным изучением немецкого языка №1269 ";1269;"http://sch1269v.mskobr.ru/";"школа";"Восточный административный округ";"присоединение";3
235;30;"Государственное бюджетное образовательное учреждение города Москвы средняя общеобразовательная школа с углубленным изучением английского языка №1270";1270;"http://sch1270c.mskobr.ru/";"школа";"Центральный административный округ";"присоединение";1
236;360;"Государственное бюджетное образовательное учреждение города Москвы гимназия №1272";1272;"http://sch1272.mskobr.ru/";"гимназия";"Южный административный округ";"присоединение";2
237;590;"Государственное бюджетное образовательное учреждение города Москвы средняя общеобразовательная школа с углубленным изучением английского языка №1273";1273;"http://sch1273uz.mskobr.ru/";"школа";"Юго-Западный административный округ";"присоединение";5
238;570;"Государственное бюджетное образовательное учреждение города Москвы средняя общеобразовательная школа с углубленным изучением английского языка №1279";1279;"http://sch1279.mskobr.ru/";"школа";"Юго-Западный административный округ";"присоединение";4
239;529;"Государственное бюджетное образовательное учреждение города Москвы средняя общеобразовательная школа с углубленным изучением английского языка №1280 ";1280;"http://sch1280uz.mskobr.ru/";"школа";"Юго-Западный административный округ";"присоединение";1
240;876;"Государственное бюджетное образовательное учреждение города Москвы средняя общеобразовательная школа с углубленным изучением английского языка №1284";1284;"http://sch1284.mskobr.ru/";"школа";"Центральный административный округ";"присоединение";2
241;51;"Государственное бюджетное образовательное учреждение города Москвы средняя общеобразовательная школа с углублённым изучением английского языка №1285";1285;"http://sch1285sz.mskobr.ru/";"школа";"Северо-Западный административный округ";"присоединение";4
242;108;"Государственное бюджетное образовательное учреждение города Москвы средняя общеобразовательная школа с углубленным изучением французского языка №1286";1286;"http://sch1286sz.mskobr.ru/";"школа";"Северо-Западный административный округ";"присоединение";5
243;165;"Государственное бюджетное образовательное учреждение города Москвы средняя общеобразовательная школа с углубленным изучением английского языка №1287";1287;"http://sch1287s.mskobr.ru/";"школа";"Северный административный округ";"присоединение";2
244;134;"Государственное бюджетное образовательное учреждение города Москвы средняя общеобразовательная школа с углубленным изучением иностранных языков №1288 имени Героя Советского Союза Н.В. Троян";1288;"http://sch1288s.mskobr.ru/";"школа";"Северный административный округ";"слияние";3
245;775;"Государственное бюджетное образовательное учреждение города Москвы средняя общеобразовательная школа с углубленным изучением иностранного языка №1293";1293;"http://sch1293.mskobr.ru/";"школа";"Западный административный округ";"присоединение";3
246;97;"Государственное бюджетное образовательное учреждение города Москвы средняя общеобразовательная школа с углубленным изучением иностранных языков №1298";1298;"http://sch1298sz.mskobr.ru/";"школа";"Северо-Западный административный округ";"присоединение";1
247;635;"Государственное бюджетное образовательное учреждение города Москвы средняя общеобразовательная школа с углубленным изучением экономики №1301 имени Е.Т. Гайдара";1301;"http://sch1301v.mskobr.ru/";"школа";"Восточный административный округ";"присоединение";2
248;767;"Государственное бюджетное образовательное учреждение города Москвы средняя общеобразовательная школа с углубленным изучением информатики и английского языка №1307";1307;"http://sch1307.mskobr.ru/";"школа";"Западный административный округ";"присоединение";1
249;172;"Государственное бюджетное образовательное учреждение города Москвы средняя общеобразовательная школа с углубленным изучением английского языка №1315";1315;"http://sch1315s.mskobr.ru/";"школа";"Северный административный округ";"присоединение";2
250;886;"Государственное бюджетное образовательное учреждение города Москвы средняя общеобразовательная школа с углубленным изучением английского языка №1317";1317;"http://sch1317.mskobr.ru/";"школа";"Западный административный округ
Западный административный округ
Западный административный округ";"слияние";1
251;938;"Государственное бюджетное образовательное учреждение города Москвы средняя общеобразовательная школа с углубленным изучением английского языка №1319";1319;"http://sch1319.mskobr.ru/";"школа";"Юго-Восточный административный округ";"присоединение";1
252;487;"Государственное бюджетное образовательное учреждение города Москвы средняя общеобразовательная школа №1321 «Ковчег»";1321;"http://sch1321uv.mskobr.ru/";"школа";"Юго-Восточный административный округ";"слияние";1
253;840;"Государственное бюджетное образовательное учреждение города Москвы школа с углубленным изучением английского языка №1324";1324;"http://sch1324.mskobr.ru/";"школа";"Восточный административный округ";"слияние";4
254;777;"Государственное бюджетное образовательное учреждение города Москвы средняя общеобразовательная школа №1329";1329;"http://sch1329.mskobr.ru/";"школа";"Западный административный округ";"присоединение";2
255;948;"Государственное бюджетное образовательное учреждение города Москвы средняя общеобразовательная школа с этнокультурным (грузинским) компонентом образования №1331";1331;"http://sch1331.mskobr.ru/";"школа";"Центральный административный округ";"присоединение";1
256;820;"Государственное бюджетное образовательное учреждение города Москвы средняя общеобразовательная школа с углубленным изучением иностранного языка и информационных технологий №1347";1347;"http://sch1347.mskobr.ru/";"школа";"Западный административный округ";"присоединение";3
257;646;"Государственное бюджетное образовательное учреждение города Москвы средняя общеобразовательная школа с углубленным изучением английского языка №1352";1352;"http://sch1352v.mskobr.ru/";"школа";"Восточный административный округ";"присоединение";2
258;794;"Государственное бюджетное образовательное учреждение города Москвы школа с углубленным изучением английского языка №1353 имени генерала Д.Ф. Алексеева";1353;"http://sch1353zg.mskobr.ru/";"школа";"Зеленоградский административный округ";"присоединение";3
259;576;"Государственное бюджетное образовательное учреждение города Москвы средняя общеобразовательная школа с углубленным изучением английского языка №1354";1354;"http://sch1354uz.mskobr.ru/";"школа";"Юго-Западный административный округ";"присоединение";3
260;607;"Государственное бюджетное образовательное учреждение города Москвы средняя общеобразовательная школа с углубленным изучением экономики и информатики №1355";1355;"http://sch1355uz.mskobr.ru/";"школа";"Юго-Западный административный округ";"присоединение";2
261;572;"Государственное бюджетное образовательное учреждение города Москвы средняя общеобразовательная школа с углубленным изучением английского языка №1356";1356;"http://sch1356uz.mskobr.ru/";"школа";"Юго-Западный административный округ";"присоединение";1
262;472;"Государственное бюджетное образовательное учреждение города Москвы средняя общеобразовательная школа с углубленным изучением английского языка №1357";1357;"http://sch1357uv.mskobr.ru/";"школа";"Юго-Восточный административный округ";"присоединение";2
263;426;"Государственное бюджетное образовательное учреждение города Москвы средняя общеобразовательная школа с углубленным изучением английского языка №1359";1359;"http://sch1359uv.mskobr.ru/";"школа";"Юго-Восточный административный округ";"присоединение";1
264;644;"Государственное бюджетное образовательное учреждение города Москвы средняя общеобразовательная школа с углубленным изучением математики №1360";1360;"http://sch1360v.mskobr.ru/";"школа";"Восточный административный округ";"присоединение";2
265;834;"Государственное бюджетное образовательное учреждение города Москвы средняя общеобразовательная школа с углубленным изучением английского языка №1362";1362;"http://sch1362.mskobr.ru/";"школа";"Восточный административный округ";"присоединение ";2
266;427;"Государственное бюджетное образовательное учреждение города Москвы средняя общеобразовательная школа с углубленным изучением отдельных предметов №1363";1363;"http://sch1363uv.mskobr.ru/";"школа";"Юго-Восточный административный округ";"присоединение";3
267;471;"Государственное бюджетное образовательное учреждение города Москвы средняя общеобразовательная школа с углубленным изучением отдельных предметов №1366";1366;"http://sch1366uv.mskobr.ru/";"школа";"Юго-Восточный административный округ";"присоединение";1
268;540;"Государственное бюджетное образовательное учреждение города Москвы средняя общеобразовательная школа с углубленным изучением информационных технологий №1368";1368;"http://sch1368uz.mskobr.ru/";"школа";"Юго-Западный административный округ";"присоединение";2
269;246;"Государственное бюджетное образовательное учреждение города Москвы средняя общеобразовательная школа с углубленным изучением английского языка №1370 ";1370;"http://sch1370sv.mskobr.ru/";"школа";"Северо-Восточный административный округ";"присоединение";4
270;736;"Государственное бюджетное образовательное учреждение города Москвы средняя общеобразовательная школа с углубленным изучением английского языка №1371";1371;"http://sch1371z.mskobr.ru/";"школа";"Западный административный округ";"присоединение";2
271;526;"Государственное бюджетное образовательное учреждение города Москвы средняя общеобразовательная школа с углубленным изучением области знаний «Искусство» №1372";1372;"http://sch1372uz.mskobr.ru/";"школа";"Юго-Западный административный округ";"присоединение";1
272;839;"Государственное бюджетное образовательное учреждение города Москвы школа с углубленным изучением иностранных языков №1373";1373;"http://sch1373v.mskobr.ru/";"школа";"Восточный административный округ";"присоединение";2
273;280;"Государственное бюджетное образовательное учреждение города Москвы средняя общеобразовательная школа с углубленным изучением английского языка №1374";1374;"http://sch1374sv.mskobr.ru/";"школа";"Северо-Восточный административный округ";"присоединение";3
274;382;"Государственное бюджетное образовательное учреждение города Москвы средняя общеобразовательная школа с углубленным изучением английского языка №1375";1375;"http://sch1375u.mskobr.ru/";"школа";"Южный административный округ";"присоединение";2
275;283;"Государственное бюджетное образовательное учреждение города Москвы средняя общеобразовательная школа с углубленным изучением английского языка №1381";1381;"http://sch1381.mskobr.ru/";"школа";"Северо-Восточный административный округ";"присоединение";3
276;173;"Государственное бюджетное образовательное учреждение города Москвы средняя общеобразовательная школа с углубленным изучением английского языка №1383";1383;"http://sch1383.mskobr.ru/";"школа";"Северный административный округ";"присоединение";2
277;874;"Государственное бюджетное образовательное учреждение города Москвы средняя общеобразовательная школа с углубленным изучением математики №1384 имени А.А. Леманского";1384;"http://sch1384.mskobr.ru/";"школа";"Северный административный округ";"присоединение";2
278;943;"Государственное бюджетное образовательное учреждение города Москвы средняя общеобразовательная школа с углубленным изучением предметов социального профиля №1386";1386;"http://sch1386.mskobr.ru/";"школа";"Юго-Восточный административный округ";"присоединение";1
279;105;"Государственное бюджетное образовательное учреждение города Москвы средняя общеобразовательная школа с углубленным изучением иностранных языков №1387 ";1387;"http://sch1387.mskobr.ru/";"школа";"Северо-Западный административный округ";"присоединение";1
280;687;"Государственное бюджетное образовательное учреждение города Москвы гимназия №1389 «Вешняковская лингвистическая гимназия»";1389;"http://sch1389u.mskobr.ru/";"гимназия";"Восточный административный округ";"слияние";2
281;122;"Государственное бюджетное образовательное учреждение города Москвы лицей №138";138;"http://sch138sz.mskobr.ru/";"лицей";"Северо-Западный административный округ";"слияние";4
282;435;"Государственное бюджетное образовательное учреждение города Москвы средняя общеобразовательная школа с углубленным изучением отдельных предметов №1393 «Школа РОСТ»";1393;"http://sch1393uv.mskobr.ru/";"школа";"Юго-Восточный административный округ";"слияние";2
283;439;"Государственное бюджетное образовательное учреждение города Москвы средняя общеобразовательная школа с углубленным изучением отдельных предметов №1394 «Воспитательно-образовательный центр «На набережной»»";1394;"http://sch1394uv.mskobr.ru/";"школа";"Юго-Восточный административный округ";"слияние";2
284;720;"Государственное бюджетное образовательное учреждение города Москвы средняя общеобразовательная школа №14";14;"http://sch14.mskobr.ru/";"школа";"Западный административный округ";"присоединение";2
285;738;"Государственное бюджетное образовательное учреждение города Москвы средняя общеобразовательная школа №1400";1400;"http://sch1400z.mskobr.ru/";"школа";"Западный административный округ";"присоединение";4
286;301;"Государственное бюджетное образовательное учреждение города Москвы средняя общеобразовательная школа с углубленным изучением английского языка №1411";1411;"http://sch1411.mskobr.ru/";"школа";"Северо-Восточный административный округ";"присоединение";2
287;244;"Государственное бюджетное образовательное учреждение города Москвы средняя общеобразовательная школа с углубленным изучением иностранных языков №1412";1412;"http://sch1412sv.mskobr.ru/";"школа";"Северо-Восточный административный округ";"присоединение";3
288;261;"Государственное бюджетное образовательное учреждение города Москвы средняя общеобразовательная школа с углубленным изучением английского языка №1413";1413;"http://sch1413sv.mskobr.ru/";"школа";"Северо-Восточный административный округ";"присоединение";3
289;254;"Государственное бюджетное образовательное учреждение города Москвы средняя общеобразовательная школа с углубленным изучением английского языка №1415 ";1415;"http://sch1415sv.mskobr.ru/";"школа";"Северо-Восточный административный округ";"присоединение";1
290;235;"Государственное бюджетное образовательное учреждение города Москвы средняя общеобразовательная школа с углубленным изучением английского языка №1416";1416;"http://sch1416sv.mskobr.ru/";"школа";"Северо-Восточный административный округ";"присоединение";3
291;191;"Государственное бюджетное образовательное учреждение города Москвы средняя общеобразовательная школа №141";141;"http://sch141s.mskobr.ru/";"школа";"Северный административный округ";"слияние";2
292;460;"Государственное бюджетное образовательное учреждение города Москвы средняя общеобразовательная школа №1420";1420;"http://sch1420uv.mskobr.ru/";"школа";"Юго-Восточный административный округ";"присоединение";4
