"OBJECTID";"name";"adress";"okrug";"rayon";"form_of_incorporation";"submission";"tip_uchrezhdeniya";"vid_uchrezhdeniya";"telephone";"web_site";"e_mail";"ID";"OBJECTID_1";"COMPLEX_ID";"NUMB";"name_1";"ID_1";"OBJECTID_12";"ID_12";"NAME_12";"TYPE";"NUMB_1";"OKRUG_1";"FOUNDATION_TYPE"
325;"Государственное бюджетное образовательное учреждение города Москвы средняя общеобразовательная школа № 1320";"107065, г. Москва,  ул. Камчатская , д.10";"Восточный административный округ";"район Гольяново";"Государственное";"Восточное окружное управление образования";"Общеобразовательное учреждение";"Средняя общеобразовательная школа";"(495) 466-92-22; (495) 466-91-22; (495) 466-13-67";"schv1320.mskobr.ru";"sch1320@yandex.ru";352;799;698,00;1320,00;"Государственное бюджетное образовательное учреждение города Москвы средняя общеобразовательная школа №1320";352,00;568;698,00;"Государственное бюджетное образовательное учреждение города Москвы гимназия №1796 «Гольяново»";"гимназия";1796,00;"Восточный административный округ";"слияние"
326;"Государственное бюджетное образовательное учреждение города Москвы средняя общеобразовательная школа № 1323";"115035 г. Москва, ул. Б. Ордынка, д.15, стр.1";"Центральный административный округ";"район Замоскворечье";"Государственное";"Центральное окружное управление образования";"Общеобразовательное учреждение";"Средняя общеобразовательная школа";"951-28-28";"schc1323.mskobr.ru";"sch1323@gmail.com";353;801;42,00;1323,00;"Государственное бюджетное образовательное учреждение города Москвы средняя общеобразовательная школа №1323";353,00;9;42,00;"Государственное бюджетное образовательное учреждение города Москвы средняя общеобразовательная школа №19 ";"школа";19,00;"Центральный административный округ";"слияние"
327;"Государственное бюджетное образовательное учреждение города Москвы средняя общеобразовательная школа № 136";"123056 г. Москва, ул. Красина, д.20, стр. 1";"Центральный административный округ";"Пресненский район";"Государственное";"Центральное окружное управление образования";"Общеобразовательное учреждение";"Средняя общеобразовательная школа";"254-34-44";"schc136.mskobr.ru";"sch136@list.ru";354;77;28,00;136,00;"Государственное бюджетное образовательное учреждение города Москвы средняя общеобразовательная школа №136";354,00;595;28,00;"Государственное бюджетное образовательное учреждение города Москвы средняя общеобразовательная школа с углубленным изучением отдельных предметов №1950";"школа";1950,00;"Центральный административный округ";"слияние"
328;"Государственное бюджетное образовательное учреждение города Москвы средняя общеобразовательная школа № 138";"123154, г. Москва, ул. Генерала Глаголева, д. 10, корп. 2";"Северо-Западный административный округ";"район Хорошёво-Мнёвники";"Государственное";"Северо-Западное окружное управление образования";"Общеобразовательное учреждение";"Средняя общеобразовательная школа";"(499) 199-27-22; (499) 199-09-79";"sch138.mskobr.ru";"sch138@szouo.ru";355;79;122,00;138,00;"Государственное бюджетное образовательное учреждение города Москвы средняя общеобразовательная школа №138";355,00;41;122,00;"Государственное бюджетное образовательное учреждение города Москвы средняя общеобразовательная школа №138 ";"школа";138,00;"Северо-Западный административный округ";"присоединение"
329;"Государственное бюджетное образовательное учреждение города Москвы средняя общеобразовательная школа № 139";"127349 г. Москва, Шенкурский проезд, д. 4а";"Северо-Восточный административный округ";"район Бибирево";"Государственное";"Северо-Восточное окружное управление образования";"Общеобразовательное учреждение";"Средняя общеобразовательная школа";"(499) 206-95-22; (499) 206-95-33; (499) 206-95-38; (499) 207-58-58";"sch139sv.mskobr.ru";"sch139m@yandex.ru";356;80;302,00;139,00;"Государственное бюджетное образовательное учреждение города Москвы средняя общеобразовательная школа №139";356,00;282;302,00;"Государственное бюджетное образовательное учреждение города Москвы средняя общеобразовательная школа №953";"школа";953,00;"Северо-Восточный административный округ";"слияние"
330;"Государственное бюджетное образовательное учреждение города Москвы средняя общеобразовательная школа № 14";"119602, г. Москва, ул. Академика Анохина, д. 32";"Западный административный округ";"район Тропарёво-Никулино";"Государственное";"Западное окружное управление образования";"Общеобразовательное учреждение";"Средняя общеобразовательная школа";"430-31-01";"sch14.mskzapad.ru";"sch14@list.ru";357;9;720,00;14,00;"Государственное бюджетное образовательное учреждение города Москвы средняя общеобразовательная школа №14";357,00;6;720,00;"Государственное бюджетное образовательное учреждение города Москвы средняя общеобразовательная школа №14";"школа";14,00;"Западный административный округ";"присоединение"
331;"Государственное бюджетное образовательное учреждение города Москвы средняя общеобразовательная школа № 1400";"121354 г. Москва, Можайское шоссе, дом 38, корпус 7";"Западный административный округ";"Можайский район";"Государственное";"Западное окружное управление образования";"Общеобразовательное учреждение";"Средняя общеобразовательная школа";"448-92-59";"sch1400.mskzapad.ru";"school1400@mail.ru";358;848;738,00;1400,00;"Государственное бюджетное образовательное учреждение города Москвы средняя общеобразовательная школа №1400";358,00;437;738,00;"Государственное бюджетное образовательное учреждение города Москвы средняя общеобразовательная школа №1400 ";"школа";1400,00;"Западный административный округ";"присоединение"
332;"Государственное бюджетное образовательное учреждение города Москвы средняя общеобразовательная школа № 1420";"109444, г. Москва, ул. Ташкентская, д. 21, к.2";"Юго-Восточный административный округ";"район Выхино-Жулебино";"Государственное";"Юго-Восточное окружное управление образования";"Общеобразовательное учреждение";"Средняя общеобразовательная школа";"376-78-38";"couv1420.mskobr.ru";"center1420@mail.ru";359;862;460,00;1420,00;"Государственное бюджетное образовательное учреждение города Москвы средняя общеобразовательная школа №1420";359,00;446;460,00;"Государственное бюджетное образовательное учреждение города Москвы средняя общеобразовательная школа №1420";"школа";1420,00;"Юго-Восточный административный округ";"присоединение"
333;"Государственное бюджетное образовательное учреждение города Москвы средняя общеобразовательная школа № 1423";"109451, г. Москва, Перервинский бульвар, д.5, корп. 3";"Юго-Восточный административный округ";"район Марьино";"Государственное";"Юго-Восточное окружное управление образования";"Общеобразовательное учреждение";"Средняя общеобразовательная школа";"658-58-88";"couv1423.mskobr.ru";"school1423@yandex.ru";360;865;428,00;1423,00;"Государственное бюджетное образовательное учреждение города Москвы средняя общеобразовательная школа №1423";360,00;448;428,00;"Государственное бюджетное образовательное учреждение города Москвы средняя общеобразовательная школа №1423";"школа";1423,00;"Юго-Восточный административный округ";"присоединение"
334;"Государственное бюджетное образовательное учреждение города Москвы средняя общеобразовательная школа № 1429 имени Героя Советского Союза Н.А.Боброва";"105082 г.Москва, Переведеновский пер., д.11";"Центральный административный округ";"Басманный район";"Государственное";"Центральное окружное управление образования";"Общеобразовательное учреждение";"Средняя общеобразовательная школа";"(499) 267-87-53";"coc1429.mskobr.ru";"ec1429@list.ru";361;869;19,00;1429,00;"Государственное бюджетное образовательное учреждение города Москвы средняя общеобразовательная школа №1429 имени Героя Советского Союза Н.А.Боброва";361,00;450;19,00;"Государственное бюджетное образовательное учреждение города Москвы средняя общеобразовательная школа №1429 имени Героя Советского Союза Н.А. Боброва";"школа";1429,00;"Центральный административный округ";"слияние"
335;"Государственное бюджетное образовательное учреждение города Москвы средняя общеобразовательная школа № 1435";"125368, г. Москва, ул. Барышиха, д. 32;";"Северо-Западный административный округ";"район Митино";"Государственное";"Северо-Западное окружное управление образования";"Общеобразовательное учреждение";"Средняя общеобразовательная школа";"(495) 753-47-11";"co1435.mskobr.ru";"sch1435@szouo.ru";362;874;65,00;1435,00;"Государственное бюджетное образовательное учреждение города Москвы средняя общеобразовательная школа №1435";362,00;453;65,00;"Государственное бюджетное образовательное учреждение города Москвы средняя общеобразовательная школа №1435";"школа";1435,00;"Северо-Западный административный округ";"слияние"
336;"Государственное бюджетное образовательное учреждение города Москвы средняя общеобразовательная школа № 1462";"109451, г. Москва, Мячковский бульвар, дом 7, к. 2";"Юго-Восточный административный округ";"район Марьино";"Государственное";"Юго-Восточное окружное управление образования";"Общеобразовательное учреждение";"Средняя общеобразовательная школа";"345-07-51";"couv1462.mskobr.ru";"sch_1462@mail.ru";365;898;432,00;1462,00;"Государственное бюджетное образовательное учреждение города Москвы средняя общеобразовательная школа №1462";365,00;588;432,00;"Государственное бюджетное образовательное учреждение города Москвы средняя общеобразовательная школа №1934 Российско-Словацкой дружбы ";"школа";1934,00;"Юго-Восточный административный округ";"присоединение"
337;"Государственное бюджетное образовательное учреждение города Москвы средняя общеобразовательная школа № 148";"123007 г. Москва, Хорошевское ш., д. 64а, стр. 2";"Северный административный округ";"Хорошёвский район";"Государственное";"Северное окружное управление образования";"Общеобразовательное учреждение";"Средняя общеобразовательная школа";"(495) 941-57-58; (495) 941-57-56; (495) 941-57-57; (495) 941-57-54; (495) 941-57-53; (495) 941-34-62; (495) 941-59-76; (495) 941-31-28; (495) 941-37-49";"schg148.mskobr.ru";"eea148@yandex.ru";366;82;213,00;148,00;"Государственное бюджетное образовательное учреждение города Москвы средняя общеобразовательная школа №148";366,00;43;213,00;"Государственное бюджетное образовательное учреждение города Москвы средняя общеобразовательная школа №148";"школа";148,00;"Северный административный округ";"присоединение"
338;"Государственное бюджетное образовательное учреждение города Москвы средняя общеобразовательная школа № 1489";"125430, г. Москва, улица Митинская дом 46 корпус 2";"Северо-Западный административный округ";"район Митино";"Государственное";"Северо-Западное окружное управление образования";"Общеобразовательное учреждение";"Средняя общеобразовательная школа";"794-28-49";"co1489.mskobr.ru";"sch1489@szouo.ru";367;921;58,00;1489,00;"Государственное бюджетное образовательное учреждение города Москвы средняя общеобразовательная школа №1489";367,00;476;58,00;"Государственное бюджетное образовательное учреждение города Москвы средняя общеобразовательная школа №1489";"школа";1489,00;"Северо-Западный административный округ";"слияние"
339;"Государственное бюджетное образовательное учреждение города Москвы средняя общеобразовательная школа № 1492";"117041, г. Москва, ул. Адмирала Лазарева, д. 62, корп.2";"Юго-Западный административный округ";"район Южное Бутово";"Государственное";"Юго-Западное окружное управление образования";"Общеобразовательное учреждение";"Средняя общеобразовательная школа";"714-03-36";"couz1492.mskobr.ru";"school1992@yandex.ru";368;924;525,00;1492,00;"Государственное бюджетное образовательное учреждение города Москвы средняя общеобразовательная школа №1492";368,00;478;525,00;"Государственное бюджетное образовательное учреждение города Москвы средняя общеобразовательная школа №1492";"школа";1492,00;"Юго-Западный административный округ";"слияние"
340;"Государственное бюджетное образовательное учреждение города Москвы средняя общеобразовательная школа № 1493";"109341, г. Москва, ул. Новомарьинская, дом 7, корпус 2";"Юго-Восточный административный округ";"район Марьино";"Государственное";"Юго-Восточное окружное управление образования";"Общеобразовательное учреждение";"Средняя общеобразовательная школа";"347-87-26";"couv1493.mskobr.ru";"school1493@mail.ru";369;925;468,00;1493,00;"Государственное бюджетное образовательное учреждение города Москвы средняя общеобразовательная школа №1493";369,00;479;468,00;"Государственное бюджетное образовательное учреждение города Москвы средняя общеобразовательная школа №1493 ";"школа";1493,00;"Юго-Восточный административный округ";"присоединение"
341;"Государственное бюджетное образовательное учреждение города Москвы средняя общеобразовательная школа № 15";"117246, г.Москва, ул.Херсонская, дом 27 А";"Юго-Западный административный округ";"район Черёмушки";"Государственное";"Юго-Западное окружное управление образования";"Общеобразовательное учреждение";"Средняя общеобразовательная школа";"331-56-11";"http://schuz15.mskobr.ru";"school15@mosuzedu.ru";370;10;547,00;15,00;"Государственное бюджетное образовательное учреждение города Москвы средняя общеобразовательная школа №15";370,00;7;547,00;"Государственное бюджетное образовательное учреждение города Москвы средняя общеобразовательная школа №15";"школа";15,00;"Юго-Западный административный округ";"присоединение"
342;"Государственное бюджетное образовательное учреждение города Москвы средняя общеобразовательная школа № 152";"125319, г. Москва, 1-ая Аэропортовская улица, дом 1";"Северный административный округ";"район Аэропорт";"Государственное";"Северное окружное управление образования";"Общеобразовательное учреждение";"Средняя общеобразовательная школа";"151-02-16";"shk152s.mskobr.ru";"shk152@mail.ru";371;84;212,00;152,00;"Государственное бюджетное образовательное учреждение города Москвы средняя общеобразовательная школа №152";371,00;44;212,00;"Государственное бюджетное образовательное учреждение города Москвы средняя общеобразовательная школа №152";"школа";152,00;"Северный административный округ";"присоединение"
343;"Государственное бюджетное образовательное учреждение города Москвы средняя общеобразовательная школа № 153";"125445, г. Москва, Прибрежный проезд, д.12";"Северный административный округ";"район Левобережный";"Государственное";"Северное окружное управление образования";"Общеобразовательное учреждение";"Средняя общеобразовательная школа";"458-22-91";"schs153.mskobr.ru";"sch153_LB@mail.ru";372;85;190,00;153,00;"Государственное бюджетное образовательное учреждение города Москвы средняя общеобразовательная школа №153";372,00;45;190,00;"Государственное бюджетное образовательное учреждение города Москвы средняя общеобразовательная школа №158";"школа";158,00;"Северный административный округ";"присоединение"
344;"Государственное бюджетное образовательное учреждение города Москвы средняя общеобразовательная школа № 155";"125040, г. Москва ул. Правды, д. 1а";"Северный административный округ";"район Беговой";"Государственное";"Северное окружное управление образования";"Общеобразовательное учреждение";"Средняя общеобразовательная школа";"614-21-60";"schs155.mskobr.ru";"SH-155@yandex.ru";373;86;206,00;155,00;"Государственное бюджетное образовательное учреждение города Москвы средняя общеобразовательная школа №155";373,00;563;206,00;"Государственное бюджетное образовательное учреждение города Москвы средняя общеобразовательная школа №1784 «Кадетская школа»";"школа";1784,00;"Северный административный округ";"слияние"
345;"Государственное бюджетное образовательное учреждение города Москвы средняя общеобразовательная школа № 156";"117463, г.Москва, улица Паустовского, дом 5, корпус 2";"Юго-Западный административный округ";"район Ясенево";"Государственное";"Юго-Западное окружное управление образования";"Общеобразовательное учреждение";"Средняя общеобразовательная школа";"422-24-22";"http://schuz156.mskobr.ru/";"mail@156.ru";374;87;580,00;156,00;"Государственное бюджетное образовательное учреждение города Москвы средняя общеобразовательная школа №156";374,00;515;580,00;"Государственное бюджетное образовательное учреждение города Москвы лицей №1561";"лицей";1561,00;"Юго-Западный административный округ";"присоединение"
346;"Государственное бюджетное образовательное учреждение города Москвы средняя общеобразовательная школа № 158";"124445, г. Москва, Валдайский проезд, дом 14";"Северный административный округ";"район Левобережный";"Государственное";"Северное окружное управление образования";"Общеобразовательное учреждение";"Средняя общеобразовательная школа";"457-33-51";"schs158.mskobr.ru";"school158cao@mail.ru";375;89;190,00;158,00;"Государственное бюджетное образовательное учреждение города Москвы средняя общеобразовательная школа №158";375,00;45;190,00;"Государственное бюджетное образовательное учреждение города Москвы средняя общеобразовательная школа №158";"школа";158,00;"Северный административный округ";"присоединение"
347;"Государственное бюджетное образовательное учреждение города Москвы средняя общеобразовательная школа № 1605";"123423, г. Москва, ул. Народного Ополчения, д. 22, к.4";"Северо-Западный административный округ";"район Хорошёво-Мнёвники";"Государственное";"Северо-Западное окружное управление образования";"Общеобразовательное учреждение";"Средняя общеобразовательная школа";"(449) 191-20-11; (499) 191-60-26; (499) 946-31-88; (499) 946-26-33";"sch1605.mskobr.ru";"sch1605@szouo.ru";376;1026;56,00;1605,00;"Государственное бюджетное образовательное учреждение города Москвы средняя общеобразовательная школа №1605";376,00;541;56,00;"Государственное бюджетное образовательное учреждение города Москвы средняя общеобразовательная школа №1605";"школа";1605,00;"Северо-Западный административный округ";"слияние"
348;"Государственное бюджетное образовательное учреждение города Москвы средняя общеобразовательная школа № 1623";"117587 г. Москва, Варшавское шоссе, дом 126А";"Южный административный округ";"район Чертаново Северное";"Государственное";"Южное окружное управление образования";"Общеобразовательное учреждение";"Средняя общеобразовательная школа";"315-37-19";"schu1623.mskobr.ru/";"sch1623@sinergi.ru";377;1031;385,00;1623,00;"Государственное бюджетное образовательное учреждение города Москвы средняя общеобразовательная школа №1623";377,00;544;385,00;"Государственное бюджетное образовательное учреждение города Москвы средняя общеобразовательная школа №1623";"школа";1623,00;"Южный административный округ";"присоединение"
349;"Государственное бюджетное образовательное учреждение города Москвы средняя общеобразовательная школа № 1640";"115477 г. Москва, ул. Бехтерева д.17а";"Южный административный округ";"район Царицыно";"Государственное";"Южное окружное управление образования";"Общеобразовательное учреждение";"Средняя общеобразовательная школа";"(495) 325-29-06; (495) 325-17-15; (495) 325-05-82; (495) 322-42-24; (495) 325-09-68";"schu1640.mskobr.ru";"sch1640@sinergi.ru";379;1035;362,00;1640,00;"Государственное бюджетное образовательное учреждение города Москвы средняя общеобразовательная школа №1640";379,00;547;362,00;"Государственное бюджетное образовательное учреждение города Москвы средняя общеобразовательная школа №1640";"школа";1640,00;"Южный административный округ";"присоединение"
350;"Государственное бюджетное образовательное учреждение города Москвы средняя общеобразовательная школа № 167 имени Маршала Л.А.Говорова";"125565, г. Москва, ул. Ленинградское шоссе, д. 94А";"Северный административный округ";"район Левобережный";"Государственное";"Северное окружное управление образования";"Общеобразовательное учреждение";"Средняя общеобразовательная школа с этнокультурным (национальным) компонентом образования";"457-70-41";"schs692.mskobr.ru";"schooladmin692@rambler.ru";381;92;194,00;167,00;"Государственное бюджетное образовательное учреждение города Москвы средняя общеобразовательная школа №167 имени Маршала Л.А.Говорова";381,00;47;194,00;"Государственное бюджетное образовательное учреждение города Москвы средняя общеобразовательная школа №167 имени Маршала Л.А. Говорова";"школа";167,00;"Северный административный округ";"присоединение"
351;"Государственное бюджетное образовательное учреждение города Москвы средняя общеобразовательная школа № 1688";"107065, г.Москва, ул. Камчатская, д.6";"Восточный административный округ";"район Гольяново";"Государственное";"Восточное окружное управление образования";"Общеобразовательное учреждение";"Средняя общеобразовательная школа";"(495) 467-44-65";"ds2560.mskobr.ru";"cad2560@yandex.ru";382;1048;645,00;1688,00;"Государственное бюджетное образовательное учреждение города Москвы средняя общеобразовательная школа №1688";382,00;549;645,00;"Государственное бюджетное образовательное учреждение города Москвы средняя общеобразовательная школа №1688";"школа";1688,00;"Восточный административный округ";"присоединение"
352;"Государственное бюджетное образовательное учреждение города Москвы средняя общеобразовательная школа № 1692";"124575, г. Москва, Зеленоград, корп. 1016";"Зеленоградский административный округ";"район Силино";"Государственное";"Зеленоградское окружное управление образования";"Общеобразовательное учреждение";"Средняя общеобразовательная школа";"(499) 731-49-50";"schzg1692.mskobr.ru";"s1692@zou.ru";383;1050;807,00;1692,00;"Государственное бюджетное образовательное учреждение города Москвы средняя общеобразовательная школа №1692";383,00;551;807,00;"Государственное бюджетное образовательное учреждение города Москвы средняя общеобразовательная школа №1692";"школа";1692,00;"Зеленоградский административный округ";"присоединение"
353;"Государственное бюджетное образовательное учреждение города Москвы средняя общеобразовательная школа № 17";"117279, г. Москва, ул. Введенского, д.28";"Юго-Западный административный округ";"район Коньково";"Государственное";"Юго-Западное окружное управление образования";"Общеобразовательное учреждение";"Средняя общеобразовательная школа";"420-98-11";"";"info@sch17.ru";384;11;557,00;17,00;"Государственное бюджетное образовательное учреждение города Москвы средняя общеобразовательная школа №17";384,00;8;557,00;"Государственное бюджетное образовательное учреждение города Москвы средняя общеобразовательная школа №17";"школа";17,00;"Юго-Западный административный округ";"присоединение"
354;"Государственное бюджетное образовательное учреждение города Москвы средняя общеобразовательная школа № 171";"119146 г. Москва, 2-ая Фрунзенская ул., д. 7А";"Центральный административный округ";"район Хамовники";"Государственное";"Центральное окружное управление образования";"Общеобразовательное учреждение";"Средняя общеобразовательная школа";"(499) 242-45-58";"schc171.mskobr.ru";"sch171@mail.ru";385;94;34,00;171,00;"Государственное бюджетное образовательное учреждение города Москвы средняя общеобразовательная школа №171";385,00;49;34,00;"Государственное бюджетное образовательное учреждение города Москвы средняя общеобразовательная школа №171";"школа";171,00;"Центральный административный округ";"присоединение"
355;"Государственное бюджетное образовательное учреждение города Москвы средняя общеобразовательная школа № 1716 ""Эврика-Огонек""";"109451, Москва, улица Верхние поля, дом 40, корпус 2";"Юго-Восточный административный округ";"район Марьино";"Государственное";"Юго-Восточное окружное управление образования";"Общеобразовательное учреждение";"Средняя общеобразовательная школа";"658-59-21";"schuv1716.mskobr.ru";"sch1716@mail.ru";386;1053;414,00;1716,00;"Государственное бюджетное образовательное учреждение города Москвы средняя общеобразовательная школа №1716 «Эврика-Огонек»";386,00;553;414,00;"Государственное бюджетное образовательное учреждение города Москвы средняя общеобразовательная школа №1716 «Эврика-Огонек»";"школа";1716,00;"Юго-Восточный административный округ";"присоединение"
356;"Государственное бюджетное образовательное учреждение города Москвы средняя общеобразовательная школа № 172";"125481, г. Москва, ул. Фомичевой, д. 5, кор.1";"Северо-Западный административный округ";"район Северное Тушино";"Государственное";"Северо-Западное окружное управление образования";"Общеобразовательное учреждение";"Средняя общеобразовательная школа";"492-83-22";"sch172.mskobr.ru";"sch172@szouo.ru";387;95;131,00;172,00;"Государственное бюджетное образовательное учреждение города Москвы средняя общеобразовательная школа №172";387,00;523;131,00;"Государственное бюджетное образовательное учреждение города Москвы лицей №1571";"лицей";1571,00;"Северо-Западный административный округ";"присоединение"
357;"Государственное бюджетное образовательное учреждение города Москвы средняя общеобразовательная школа № 1726";"121170, Москва ул.Дениса Давыдова д.5";"Западный административный округ";"район Дорогомилово";"Государственное";"Западное окружное управление образования";"Общеобразовательное учреждение";"Средняя общеобразовательная школа";"(499) 249-08-10; (499) 243-67-88";"ds1555.mskzapad.ru";"dou1555@mail.ru";388;1056;707,00;1726,00;"Государственное бюджетное образовательное учреждение города Москвы средняя общеобразовательная школа №1726";388,00;554;707,00;"Государственное бюджетное образовательное учреждение города Москвы средняя общеобразовательная школа №1726 ";"школа";1726,00;"Западный административный округ";"присоединение"
358;"Государственное бюджетное образовательное учреждение города Москвы средняя общеобразовательная школа № 1738 имени авиаконструктора М.Л. Миля";"109153, г. Москва, ул. Лермонтовский проспект, дом 14, корпус 2";"Юго-Восточный административный округ";"район Выхино-Жулебино";"Государственное";"Юго-Восточное окружное управление образования";"Общеобразовательное учреждение";"Средняя общеобразовательная школа";"705-61-96";"sch1738uv.mskobr.ru";"sch1738@yandex.ru";389;1060;488,00;1738,00;"Государственное бюджетное образовательное учреждение города Москвы средняя общеобразовательная школа №1738 имени авиаконструктора М.Л. Миля";389,00;555;488,00;"Государственное бюджетное образовательное учреждение города Москвы средняя общеобразовательная школа №1738 имени авиаконструктора М.Л. Миля";"школа";1738,00;"Юго-Восточный административный округ";"присоединение"
359;"Государственное бюджетное образовательное учреждение города Москвы средняя общеобразовательная школа № 1739";"124683, г. Москва, Зеленоград, корп. 1555";"Зеленоградский административный округ";"район Крюково";"Государственное";"Зеленоградское окружное управление образования";"Общеобразовательное учреждение";"Средняя общеобразовательная школа";"(499) 717-66-00";"dskz2111.mskobr.ru";"s1739@zou.ru";390;1061;795,00;1739,00;"Государственное бюджетное образовательное учреждение города Москвы средняя общеобразовательная школа №1739";390,00;556;795,00;"Государственное бюджетное образовательное учреждение города Москвы средняя общеобразовательная школа №1739";"школа";1739,00;"Зеленоградский административный округ";"присоединение"
360;"Государственное бюджетное образовательное учреждение города Москвы средняя общеобразовательная школа № 1740";"124683, г. Москва, Зеленоград, корп.1530";"Зеленоградский административный округ";"район Крюково";"Государственное";"Зеленоградское окружное управление образования";"Общеобразовательное учреждение";"Средняя общеобразовательная школа";"(499) 717-03-67";"dskz2196.mskobr.ru/";"s1740@zou.ru";391;1062;798,00;1740,00;"Государственное бюджетное образовательное учреждение города Москвы средняя общеобразовательная школа №1740";391,00;557;798,00;"Государственное бюджетное образовательное учреждение города Москвы средняя общеобразовательная школа №1740";"школа";1740,00;"Зеленоградский административный округ";"присоединение"
